titles,authors,informs,clip_links
인간실격,다자이 오사무,"일본 문학의 정수를 담은 [웅진지식하우스 일문학선집] 제2권 인간 내면의 파멸을 다룬 다자이 오사무 대표작 《인간 실격》 역사적으로, 지리학적으로, 수세기 동안 우리는 늘 ‘일본을 아는 것’을 과제로 안고 살아 왔다. 그들을 이해하는 데에는 ‘문학’이라는 것이 가장 기본적이고도 접하기 쉬운 ‘교과서’이며, [웅진지식하우스 일문학선집]은 이러한 의식에서 출발하였다. 일본의 국민 작가 나쓰메 소세키부터 다자이 오사무, 미시마 유키오, 오에 겐자부로 등 일본적 특수성을 잘 나타내고 있으면서도 세계 문화와 폭넓게 호흡하고 있는 일본 작가의 작품으로 구성된 [웅진지식하우스 일문학선집]은, 앞으로 이전보다 좀 더 다양한 일본 근현대문학, 나아가서 고전문학까지 폭넓게 다룰 예정이다. 국내 최고의 일본 문학 전공자 혹은 작가 연구자들에 의해 번역된 이 시리즈는 1995년부터 10년을 주기로 하여 개정되었고, 20주년을 맞아 2016년 다시 개정되었다. 전면적인 번역 수정으로, 예전보다 훨씬 탄탄한 작품으로 탈바꿈했음은 물론, 그 작가의 정수를 보여 주는 장편과 단편, 역자의 해설 및 자세한 작가 연보도 빠짐없이 수록하여 작품을 이해하는 데 도움이 되도록 했다.",https://audioclip.naver.com/audiobooks/E5D6B8D0D8
눈물을 마시는 새 4장 - 왕 잡아먹는 괴물,이영도,"수백만 독자가 열광한 이영도 작가 최고의 걸작 판타지를 귀로 읽는다 모든 텍스트를 빠짐없이 완독한 <눈물을 마시는 새> 오디오북 제4장! 오디오북 역사상 최대 제작비와 1년여의 제작 기간 권도일, 곽윤상, 사문영, 최승훈, 이동훈, 최낙윤 성우 등 21명의 호화 성우진 극의 몰입감을 높이는 다채로운 OST와 BGM까지 러닝타임 약 62시간에 달하는 혁명적인 초대형 오디오북 시리즈 정식 론칭! 【드래곤 라자 출간 10주년 기념작 '그림자 자국' 오디오북】 【눈물을 마시는 새 원작 소설 연재 보러 가기】 ● 오디오북 출간본은 스크립트가 제공되지 않습니다.(연재 한정 서비스) - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 그리고 아무도 없었다 오리엔트 특급 살인사건 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 [이영도 판타지 시리즈] 그림자 자국 눈물을 마시는 새 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/0731DDA75B
서재의 시체,애거서 크리스티,"'추리 소설의 여왕' 애거서 크리스티, 그녀 생애 최고의 걸작들을 오디오북으로 만나다! 전 세계에서 가장 많이 팔리는 애거서 크리스티 작품 중 하나! 조용한 교외에서 은퇴 생활을 즐기던 밴트리 대령. 그의 서재에서 낯선 금발 여자의 시체가 발견된다. 평온하던 마을은 충격으로 술렁이고, 경찰을 신뢰하지 못하는 대령 부인은 마플 양에게 사건 해결을 의뢰한다. 죽은 여자의 신원이 호텔 댄서로 밝혀지자, 그녀를 흠모하던 사업가 콘웨이 제퍼슨이 중요 참고인으로 지목된다. 부유한 사업가였지만 십여 년 전 사고로 가족을 모두 잃고 자신마저 불구가 된 제퍼슨에게 이 떠돌이 무용수는 어떤 존재였을까? 수사의 갈피를 잡지 못하는 와중에, 마플 양만이 올바른 진실을 찾아나선다. 과연 이 낯선 여자는 왜 남의 집 서재에서 죽어야 했던 것일까? ""감탄하지 않을 수 없다."" ― 《타임스 리터러리 서플먼트》 ★애거서 크리스티 드라마형 오디오북 베스트 12종 모아 듣기★ - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [이준영 SF장편소설] 파라미터O [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운 ― THE BODY IN THE LIBRARY Copyright © 1942 Agatha Christie Limited. All rights reserved. AGATHA CHRISTIE, MARPLE and the Agatha Christie Signature are registered trademarks of Agatha Christie Limited in the UK and elsewhere. All rights reserved. Korean Translation Copyright © Minumin 2019 Korean audiobook edition is published by arrangement with Agatha Christie Limited through Shinwon Agency. 이 오디오북의 한국어판 저작권은 신원 에이전시를 통해 Agatha Christie Limited와 독점 계약한 ㈜민음인에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다.",https://audioclip.naver.com/audiobooks/EBFC05631A
눈물을 마시는 새 7장 - 여신의 신랑,이영도,"수백만 독자가 열광한 이영도 작가 최고의 걸작 판타지를 귀로 읽는다 모든 텍스트를 빠짐없이 완독한 <눈물을 마시는 새> 오디오북 제7장! 오디오북 역사상 최대 제작비와 1년여의 제작 기간 권도일, 곽윤상, 사문영, 최승훈, 이동훈, 최낙윤 성우 등 21명의 호화 성우진 극의 몰입감을 높이는 다채로운 OST와 BGM까지 러닝타임 약 62시간에 달하는 혁명적인 초대형 오디오북 시리즈 정식 론칭! 【드래곤 라자 출간 10주년 기념작 '그림자 자국' 오디오북】 【눈물을 마시는 새 원작 소설 연재 보러 가기】 ● 오디오북 출간본은 스크립트가 제공되지 않습니다.(연재 한정 서비스) - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 그리고 아무도 없었다 오리엔트 특급 살인사건 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 [이영도 판타지 시리즈] 그림자 자국 눈물을 마시는 새 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/0863442BB6
"죄와 벌 1 (민음사 세계문학, 완독본)",표도르 도스토옙스키,"러시아의 대문호 도스토예프스키가 8년간의 유형 후 발표한 대작 이성의 광기 속으로 침잠하는 자폐적 인간, 고뇌하는 청춘의 전형 ‘라스콜니코프’를 창조해 냄으로써 20세기 문학, 철학, 심리학에 하나의 ‘사건’으로 기록된 소설 사형선고와 감옥 생활, 유형 생활 이후 변화된 사상과 철학을 소설로 완성한 기념비적 작품―“변증법 대신에 삶이 도래했다” 도스토예프스키는 ‘페트라셰프스키 모임’에서 고골에게 보내는 벨린스키의 편지를 낭독했다는 죄명으로 28세에 사형선고를 받는다. 사형 집행은 극적으로 취소되었으나, 이후 4년을 감옥에서 보내고 다시 4년 동안을 시베리아에서 복무했다. 감옥 생활 중에 그에게 허락된 유일한 책은 ‘성경’이었다. 이 시절을 보낸 후 자유의 몸이 되었을 때 도스토예프스키는 그야말로 극우 보수주의자(슬라브주의자)가 되어 있었다. 또한 초기작에서는 거의 찾아볼 수 없었던 신과 구원의 문제가 이후 작품들에서 화두로 등장한다. 『죄와 벌』은 그가 자유의 몸이 된 후에 발표한 두 번째 작품이다. 전작인 『지하로부터의 수기』가 상대적으로 짧은 중편소설에 가까웠던 반면, 『죄와 벌』은 도스토예프스 작품 세계가 절정에 이른 대작이다. 또한 『지하로부터의 수기』에서 새로운 인물 유형과 이야기 전개 방식을 선보이면서 미학적, 시학적 실험을 했다면, 『죄와 벌』에서는 그 소설 기법이 만개하여 인간의 가장 깊은 곳에 숨겨진 심리가 낱낱이 파헤쳐진다. 번역자인 김연경은 “도스토예프스키의 작가 인생을 조망할 때 『지하로부터의 수기』(1864)가 변태와 탈각(脫殼)의 순간을 보여 준다면 『죄와 벌』(1866)은 그 이후의 모습이 진면목을 드러낸 첫 소설이다.”라고 평가했다. 이 작품은 전체 6부와 에필로그로 구성되는데, 1부에서 이미 라스콜니코프는 살인을 저지르고, 그 이후에는 그가 왜 그런 범죄를 감행했는지를 밝히는 과정이 이어진다. 특히 다른 누구보다 라스콜니코프 자신이 범죄 동기가 무엇이었는지 스스로 고민하고 갈등하는 모습이 주로 그려진다. 그는 “나는 사람을 죽인 것이 아니다, 원칙을 죽인 것이다!” “그러니까 나는 나폴레옹이 되고 싶었고 그 때문에 사람을 죽였어…….” “내가 과연 노파를 죽인 걸까? 나는 나 자신을 죽인 거야, 노파가 아니라!” “나는 그냥 죽였어. 나 자신을 위해, 나 하나만을 위해 죽인 거야.”라고 되뇌이며, 실제로 끝까지 자신의 범죄를 뉘우치지 않는다. 그가 괴로워하는 이유는 자신의 이론에 오류가 있었다는 것, 판단 착오를 했다는 것, 그것이다. 이 “고매한 살인자” 라스콜니코프는 “성스러운 매춘부” 소냐를 만나면서 고해성사에 가까운 고백을 하게 된다. 그녀는 그에게 없던 ‘삶’을, ‘이론’이 아닌 삶을 가져다준다. 소설의 마지막 장까지 그는 성경을 펼치지 못했고(않았고), 자신이 저지른 죄에 대한 속죄 혹은 구원을 얻었는지는 모호하다. 그러나 『죄와 벌』이 “한 청춘이 겪는 ‘환멸과 좌절’의 기록”이라면, 소설이 끝난 후 두 청춘, 라스콜니코프와 소냐에게는 환멸과 좌절을 넘어선 ‘삶’이 남아 있을 것이다.",https://audioclip.naver.com/audiobooks/4A3F8E8EFC
눈물을 마시는 새 8장 - 열독(熱毒),이영도,"수백만 독자가 열광한 이영도 작가 최고의 걸작 판타지를 귀로 읽는다 모든 텍스트를 빠짐없이 완독한 <눈물을 마시는 새> 오디오북 제8장! 오디오북 역사상 최대 제작비와 1년여의 제작 기간 권도일, 곽윤상, 사문영, 최승훈, 이동훈, 최낙윤 성우 등 21명의 호화 성우진 극의 몰입감을 높이는 다채로운 OST와 BGM까지 러닝타임 약 62시간에 달하는 혁명적인 초대형 오디오북 시리즈 정식 론칭! 【드래곤 라자 출간 10주년 기념작 '그림자 자국' 오디오북】 【눈물을 마시는 새 원작 소설 연재 보러 가기】 ● 오디오북 출간본은 스크립트가 제공되지 않습니다.(연재 한정 서비스) - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 그리고 아무도 없었다 오리엔트 특급 살인사건 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 [이영도 판타지 시리즈] 그림자 자국 눈물을 마시는 새 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운",https://audioclip.naver.com/audiobooks/89D9F85140
교육의 탄생 (크나큰 박서함),김희선,"최두식은 1960년대에 ‘세상에서 가장 아이큐가 높은 아이’로, 일곱 살 때 방송에 나가 고등학교 미적분 문제를 푼다. 아이큐 215의 천재 소년. 소련에서 유리 가가린이 우주선을 타고 지구 밖으로 나갔을 때, 한국의 어린 최두식은 티비 쇼에 나와 전국민의 박수를 받고 있었다. 그가 85년에 출간하려다 실패한 회고록 『조국의 하늘 아래』는 이제 세상에서 볼 수 없지만, 배송 직원이 냄비 받침으로 쓰던 파본 한 권이 남아 최두식의 지난 삶을 짐작하게 한다. 최두식이 나사에서 인간 계산기로 지낸 시절, 레오니드 몰로디노프 박사와의 만남 등 회고록 형식을 통해 세상의 비밀에 대한 인간의 호기심을 무한대의 상상력으로 보여주고 있다. *** KNK(크나큰)의 멤버 박서함이 낭독하는 김희선 작가의 「교육의 탄생」은 아이돌 및 각계 저명인사의 목소리 재능을 기부받아 소리책을 만들고 이를 통해 청각 장애인에게 희망의 소리를 선물하는 캠페인에 참여한 작품이다. 캠페인 수익금의 일부는 사랑의 달팽이 재단에 기부되어, 경제적 어려움으로 소리 없는 세상에 살고 있는 난청 아동들에게 희망의 소리를 선물해주기 위한 지원 기금으로 사용되어진다.",https://audioclip.naver.com/audiobooks/247D8A3AE9
살인을 예고합니다,애거서 크리스티,"'추리 소설의 여왕' 애거서 크리스티, 그녀 생애 최고의 걸작들을 오디오북으로 만나다! ""살인을 예고합니다. 시각은 10월 29일 금요일 6:30 P.M. 장소는 리틀 패덕스. 친구들은 이번 한 번뿐인 통지를 숙지하기 바랍니다."" 마을 신문에 블랙록 양의 집에서 살인이 벌어질 거라고 예고하는 광고가 실린다. 호기심이 동한 마을 사람들은 단순한 '살인 게임'을 기대하며 블랙록 양의 집에 속속 모여든다. 그런데 집의 불이 모두 꺼진 순간 총성이 울리고 진짜 시체가 발견된다! 마플 양은 특유의 차분한 태도로 사건을 풀어가는데……. 『서재의 시체』와 함께 마플 양을 대표하는 작품이자, 애거서 크리스티가 선정한 베스트 10에 꼽히는 걸작. ★애거서 크리스티 드라마형 오디오북 베스트 12종 모아 듣기★ - 📌성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록 [애거서 크리스티 추리 베스트 12] 나일 강의 죽음 커튼 애크로이드 살인 사건 스타일스 저택의 괴사건 서재의 시체 살인을 예고합니다 비뚤어진 집 다섯 마리 아기 돼지 ABC 살인사건 0시를 향하여 그리고 아무도 없었다 오리엔트 특급 살인사건 [이영도 판타지 시리즈] 눈물을 마시는 새 그림자 자국 오버 더 호라이즌 오버 더 네뷸러 오버 더 미스트 오버 더 초이스 에소릴의 드래곤 [하지은 작가 대표작] 얼음나무 숲 [이준영 SF장편소설] 파라미터O [공포 단편 오디오북] 증명된 사실 검은 책 홍수 심해어 공포의 ASMR 나 홀로 숨바꼭질 인형괴담 귀신보다 무서운 ― A MURDER IS ANNOUNCED Copyright © 1950 Agatha Christie Limited. All rights reserved. AGATHA CHRISTIE, MARPLE and the Agatha Christie Signature are registered trademarks of Agatha Christie Limited in the UK and elsewhere. All rights reserved. Korean Translation Copyright © Minumin 2019 Korean audiobook edition is published by arrangement with Agatha Christie Limited through Shinwon Agency. 이 오디오북의 한국어판 저작권은 신원 에이전시를 통해 Agatha Christie Limited와 독점 계약한 ㈜민음인에 있습니다. 저작권법에 의해 한국 내에서 보호를 받는 저작물이므로 무단 전재와 무단 복제를 금합니다.",https://audioclip.naver.com/audiobooks/5ED2DA3EFA
"폭풍의 언덕 (민음사 세계문학, 완독본)",에밀리 브론테,"에밀리 브론테가 남긴 단 한 편의 소설, 그러나 영문학 3대 비극, 세계 10대 소설에 꼽히는 작품 『폭풍의 언덕』은 서른 살의 나이에 요절한 에밀리 브론테가 죽기 일 년 전에 발표한 유일한 소설이다. 황량한 들판 위의 외딴 저택 워더링 하이츠를 무대로 벌어지는 캐서린과 히스클리프의 비극적인 사랑, 에드거와 이사벨을 향한 히스클리프의 잔인한 복수를 그린 이 작품은 작가가 ‘엘리스 벨’이라는 가명으로 발표했을 당시에는 그 음산한 힘과 등장인물들이 드러내는 야만성 때문에 반도덕적이라는 비난을 받았다. 심지어 그녀의 언니 샬럿마저도 1850년에 출판된 소설의 서문에서 ""어줍잖은 작업장에서 간단한 연장으로 하찮은 재료를 다듬어 만든 것""이라고 말한 바 있다. 에밀리가 이 세상에 남긴 것은 이 한 편의 소설과 완성되지 않은 단편적인 문장을 포함한 193편의 시에 불과하다. 그럼에도 그녀가 불후의 문학적 명성을 얻게 된 것은, 바로 이 작품 『폭풍의 언덕』에서 보이는 빛나는 감수성과 시적이고 강렬한 필치, 그리고 새로운 문학사적 의의 때문이다. 백 년이 지난 오늘 이 소설은 셰익스피어의 『리어 왕』, 멜빌의 『백경』과도 곧잘 비교될 만큼 깊은 비극성과 시성(詩性)으로 높이 평가받고 있다.",https://audioclip.naver.com/audiobooks/47102E0604
