titles,authors,informs,clip_links
아몬틸라도의 술통,에드거 앨런 포,"세계 문호들의 판타스틱 단편 고전을 엄선하여 소개하는 시리즈 작품! 사육제 기간에 손에 넣은 아몬틸라도! 그 진위를 감정해달라고 친구를 지하 술창고로 데리고 간다. 아니, 그는 감정해달라고 청한 적 없다. 친구 스스로가 나선 발걸음. 《출판사서평》 낯선 세계로의 여행! 그곳으로 통하는 문이 이 책 안에 숨겨져 있다. 상상력의 힘이 펼쳐 보이는 끝도 없는 환상의 세계!! 그 안으로 들어가는 문은 우리의 현실 곳곳에 숨겨져 있다. 단지 현실세계에 너무나도 익숙하게 길들여진 우리의 눈에 보이지 않을 뿐이다. 하지만 어떤 우연한 일을 계기로 환상의 세계로 통하는 문이 열리면, 우리 앞에 몽롱한 환상의 세계가 펼쳐진다. 그리고 우리는 두려움과 함께 머뭇머뭇 그 세계로 들어서게 된다. 그렇게 해서 들어서게 된 곳은 더 이상 환상의 세계가 아니다. 그곳에서는 현재 우리가 살고 있는 현실보다 더욱 현실감 넘치는 사건이 우리를 기다리고 있다. 이제 우리는 그 세계에 빠져 현실로 도망치고 싶어 하면서도, 혹은 그 세계에 영원히 머물고 싶어 하면서도, 끝내 그렇게 하지 못 한다. 그 세계는 도망치려 하면 우리를 더욱 붙잡아두고, 영원히 머물고 싶어 하면 우리를 힘껏 밀어내는 세계이다. 누구나 한번쯤을 꿈꿔왔을 그 환상의 세계가 드디어 우리 앞에 펼쳐진다. 인류 최고의 상상력이 총망라된 이 책을 통해서, 당신 옆에 숨겨져 있는 환상의 세계로 가는 문에 대한 힌트를 얻기 바란다.",https://audioclip.naver.com/audiobooks/7BBF83A585
불량소년과 그리스도,사카구치 안고,엄선한 일본 근현대 중단편 문학의 정수! ― 쉰아홉 번째 이야기 다자이 오사무와 아쿠타가와 류노스케의 죽음. 그들의 죽음에는 하나의 공통점이 있다. 같은 무뢰파 작가로 다자이와 친분이 있었던 사카구치 안고는 다자이의 죽음을 어떻게 이야기할까? 《출판사서평》 역사적으로나 지리적으로 봤을 때 일본과 우리는 떼려야 뗄 수 없는 관계에 있다. 문화 면에 있어서도 양국 간의 교류는 그 역사가 매우 깊다. 근대 이전까지는 주로 우리를 통해서 선진 문물이 일본으로 들어갔다. 당시의 일본 문화는 우리의 선진 문물에 힘입은 바가 크다. 그러나 근대화 과정에서 우리보다 한발 앞서 서양 문물을 적극적으로 수용한 일본은 이후 우리의 문화에 커다란 영향을 주었다. 지리적으로 인접한 두 나라는 이처럼 오랜 옛날부터 서로에게 커다란 영향을 주었다. 어느 한쪽의 선진 문화가 다른 한쪽으로 전파되는 것이 주된 흐름이었던 옛날과는 달리 지금은 양국이 거의 대등한 입장에서 서로의 문화에 영향을 주고 있다. 교통과 통신의 발달로 어느 한 쪽을 통해 문물을 받아들이는 것이 아니라 서로가 독자적으로 세계와 교류하며 문화를 흡수하고 그것을 발전시켜 나가고 있기 때문일 것이다. 그럼에도 두 나라는 지리적 여건상 지금도 서로에게 커다란 영향을 주고 있다. 정서적으로는 서로 갈등이 있지만 바로 그렇기 때문에 문화적인 면에서의 접근이 선행되어야 할 것이다. 이번에 일본 근현대의 중단편 소설을 시리즈로 기획했다. 일본 근현대 소설이라고 하면 그 범위가 상당히 넓은데 이 시리즈에서는 근현대 문학의 초기 작품부터 현대의 작품까지를 전부 아우를 생각이다. 상당히 긴 작업이 될 테지만 누군가 이 시리즈를 기다려주는 독자가 한 명이라도 있는 한 멈추지 않을 생각이다. 또 각 단편을 읽기 쉽게 하기 위해 따로 출간하기로 했다. 새로운 읽기 문화에 적응하기 위한 몸부림이라고도 할 수 있겠다. 독자에게는 필요한 작품만을 골라 읽을 수 있는 장점이 있으리라. 우리나라 사람들이 이웃나라인 일본 근현대 사회의 정서를 조금이나마 이해하는 데 이 시리즈가 도움이 되었으면 하는 바람이다.,https://audioclip.naver.com/audiobooks/00EFD8CE45
나쓰메 소세키 단편소설전집 2권,나쓰메 소세키,※ KBS 슈퍼탤런트 1기 배우 김시연 전권 완독 ※ 일본의 셰익스피어라고 불리는 작가 '나쓰메 소세키'의 중단편소설이 한자리에! 나쓰메 소세키는 우리나라에서도 커다란 인기를 얻고 있는 일본의 대문호이지만 그의 이름과 함께 단편소설을 떠올리는 이는 거의 없을 것이다. 그만큼 우리나라에서는 나쓰메 소세키의 단편소설을 찾아보기가 어렵다. 간혹 몇 편을 손에 넣었다 할지라도 단편소설 전체를 감상하기는 더욱 어려운 일이다. 그런 그의 단편소설이 한자리에 모였으니 이는 진풍경이라 하지 않을 수 없다.,https://audioclip.naver.com/audiobooks/794F2EC9F5
한 권으로 읽는 세계명작 다이제스트 시리즈(전12권) - 11권,박영만,"KBS 슈퍼탤런트 1기 배우 김시연이 낭독한 오디오북! 세계명작을 흥미롭게 엮어 현대 감각으로 새롭게 탄생! 『한 권으로 읽는 세계명작 다이제스트 55』는 세계명작의 탄생 배경과 함께 작가의 삶, 작품의 줄거리, 에피소드, 주제, 인류에게 미친 영향, 가치 등을 흥미롭게 엮어 현대 감각에 맞게 새로이 탄생시킨 세계명작 55편의 다이제스트이다.",https://audioclip.naver.com/audiobooks/695BE9A65D
피날레 1권,이현성,"""“루나, 넌 보석이야. 그것도 나, 문승호의 보석.” MS 엔터테인먼트의 대표 문승호. 당돌하게 자신을 사 달라 말하는 여자 연희를 처음 보는 순간 그녀가 보석임을 안 승호, 연희를 최고의 모델 ‘루나’로 재탄생시키기 위한 플랜을 진행하는데……. “그냥 넌 저 남자가 시키는 대로 하고 돈을 벌면 되는 거야.” 평범한 여대생 김연희, 소중한 것을 지키려 온몸을 내던지려는 그 순간 문승호를 만나 꿈에도 생각해 본 적 없던 모델의 세계에 발을 들이게 된다. 오직 자신에게만 보석이라 불러 주는 남자 승호를 위해. “그래. 내가 널 모델로 만들어 주겠어.” “모델이요?” “귀가 잘 안 들리나? 왜 자꾸 확인을 해?” “그거야 믿어지지가 않으니까 그렇죠. 갑자기 처음 본 사람한테 뜬금없이 연예인 제안을 하는 사람이 어디 있어요?” “처음 본 사람한테 1억을 요구하는 사람도 있는데, 연예인 제안이 뭐가 어때서?” 내 인생 마지막 무대. 피날레.""",https://audioclip.naver.com/audiobooks/DE218ABC80
보물섬,로버트 루이스 스티븐슨,"세계대표명작을 엄선하여 줄거리, 주제등을  성우의 목소리로 들려주는 세계 명작  보물창고!  오디오북을 통해 세계 대표명작을 만나 보세요.",https://audioclip.naver.com/audiobooks/3350D50D97
정아에 대해 말하자면,김현진,"“상처 받은 한국 여자의 이야기, 감당할 수 있겠어요?” 『네 멋대로 해라』 김현진이 들려주는 사랑과 복수의 옴니버스 1999년, 열여덟 나이로 쓴 청소년 성장 에세이 『네 멋대로 해라』로 일약 스타 칼럼니스트 반열에 오른 작가 김현진이 첫 번째 소설집으로 독자들을 찾아왔다. 그간 칼럼, 에세이, 소설 등 다방면에서 꾸준한 활동인 보인 작가 김현진의 신작 『정아에 대해 말하자면』은 각기 다른 삶의 변곡점을 맞이한 여덟 명 여성들의 이야기를 담은 옴니버스식 연작소설집이다. 여덟 명의 주인공들은 서로 전혀 다른 삶을 살아가지만, ‘한국’의 ‘여성’이라는 거대한 고리로 이어져 있는 인물들이다. 그 거대한 고리 속 이야기들을 면밀히 들여다보자면, 그들의 삶은 여지없이 ‘불안’ 혹은 ‘불행’이라는 맥락으로 이어지고 만다. 그러나 여덟 명의 주인공들은 그 ‘불안’과 ‘불행’을 그저 받아들이는 수동적 인물들이 아니다. 그들은 각자의 방식대로 자신에게 상처 준 사람들을 향한 복수를 시작한다. 하나가 아닌 듯 하나인 여덟 명 주인공들이 펼치는 가슴 저리다가도 마음 통쾌해지는 사랑과 복수의 옴니버스! 그들은 사랑의 마침표를 어느 곳에 찍게 될까.",https://audioclip.naver.com/audiobooks/DDB1C21431
빈처 (Resound단편),현진건,"「빈처」는 1921년 『개벽』 에 발표된 '현진건'의 단편소설입니다. 현진건의 실질적인 데뷔작으로 가난한 무명작가와 아내 사이에서 벌어지는 갈등과 고뇌를 일인칭 고백적 서술 방식을 통해 신랄하게 드러낸 작품입니다. 작가의 경험이 다분히 묻어난 자전적인 소설로, 생활에 보탬이 되지 않은 독서와 창작으로 무위도식하는 남편인 '나'와, 생계를 위해 장롱 속의 옷까지 전당포에 잡혀가며 남편의 성공만을 기다리는 '아내'의 생활 모습과 심리를 섬세하게 그리고 있습니다. 사실주의적 경향의 소설로, 어떤 극적인 사건 전개 없이 사소한 일상을 드러냄으로써 작가는 본인의 내적 욕망을 무기력한 지식인 작가 시점에서 담담하게 묘사하고 있습니다. 「빈처」의 오리지널 스코어를 작곡한 '허준혁'은 음악 프로듀서이자 영화음악가이며 사운드디자이너입니다. <시라노연애조작단>, <조금만 더 가까이>, <체포왕> 등의 영화 ost를 제작했으며, 2015년도에 한국대중음악상 댄스 및 일렉트로닉 부분 최우수 앨범상을 수상하기도 했습니다. 국내외를 가리지 않고 종횡무진 활동하며 음악적 표현의 영역을 무한 확장하고 있는 뮤지션입니다. 100년 전 우리 소설, 아름다운 소리로 만나다. [Resound 단편] 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. [Resound 단편] 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져, 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 [Resound 단편] 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/3E25515342
"오, 사랑",조우리,"제18회 사계절문학상 대상 수상작으로, 수상자 조우리 작가의 첫 장편소설이다. 사랑이라는 뜨겁고 순수한 감정을 잘 표현한 작품이자, 자신을 긍정적으로 받아들이고 자기 자신을 사랑하는 방법을 찾아 나가는 두 소녀의 성장 이야기이다. 작가는 처음 사랑을 시작하는 청소년들의 사랑을 개성 넘치는 언어로 표현하였고, ‘존재 자체에 대한 순수한 감정’으로 두 사람의 사랑을 편견 없이 풀어냈다. 뷰티 유튜버가 꿈인 오사랑은 ‘학교 밖에서 꿈꾸기’라는 오픈 채팅방 오프라인 모임에 나간다. 슬슬 따분함이 느껴질 즈음 짧은 커트 머리에 검은 테 안경을 쓰고, 리넨 패션으로 꾸미고 걸어 들어오는 이솔을 보고 한눈에 반한다. 솔은 사랑의 옆에 앉는다. 대화를 하면 할수록 사랑은 타투이스트를 꿈꾸는, 같은 학교에 다니는 솔에게 빠져든다. 며칠 후 학교에서 만난 솔은 모임에서 보던 모습과는 정반대로 다가온다. 체육복 차림에 종일 책상에 엎드려 있고, 무기력하며 학교생활에는 무관심하다. 사랑은 자신과 다른 듯 닮은 솔에게 다가간다. 같이 점심을 먹고, 운동장 계단에서 시끄러운 음악을 듣고, 같이 운동을 하면서 둘은 좀 더 가까워지는데…. * 이 오디오북은 한국출판문화산업진흥원(KPIPA)의 「2021년 오디오북 제작 지원」사업 선정작입니다.",https://audioclip.naver.com/audiobooks/CBA3890AEC
군림천하 2부,용대운,"그가 돌아왔다! 3년 전, 몰락해가는 문파를 뒤로 하고 종적을 감추었던 종남파 21대 장문인, 진산월. 그를 기다리는 것은 이미 멸문 되어버린 문파이고, 자기 몸 같았던 사제들은 생사(生死)도 알 수 없게 되어버렸다. 과연 진산월은 문파를 다시 세우고 사라져버린 사제들을 다시 찾을 수 있을 것인가? 그리고 3년 동안 진산월에게는 무슨 일이 있었던 것일까? 군림천하 2부 '종남의 혼' 무림의 새로운 전설을 기대하십시요!",https://audioclip.naver.com/audiobooks/42246E20B1
