titles,authors,informs,clip_links
할머니는 죽지 않는다 <우리는 누구이며 어디로 와서 어디로 가는가>,공지영,"장편소설에서는 볼 수 없었던 작가 공지영의 독특한 이야기들! 《별들의 들판》 이후 13년 만에 펴내는 공지영의 소설집 『할머니는 죽지 않는다』. 2000년 이후 집필, 발표한 작품들 가운데 21세기문학상, 한국소설문학상, 이상문학상 수상작과 신작 산문을 수록한 소설집으로, 끊임없이 장편소설을 집필하면서도 단편소설이 갖춰야 할 소설 미학을 지속적으로 유지해 왔다고 평가받은 저자의 최근 작품 경향을 한눈에 살펴볼 수 있다. 죽음에 직면한 할머니를 둘러싸고 가족들 사이에 벌어지는 또 다른 죽음의 행렬 속에서 경악하는 소녀의 독백을 담은 표제작 《할머니는 죽지 않는다》, 일찍 집을 떠나 서울로, 지방의 공장으로 떠돌다가 다시 고향땅에 돌아와서도 밑바닥 생활을 벗어나지 못하는 여자 순례가 다시 희망의 싹을 틔우는 《부활 무렵》, 탈출의 희망을 버리고 자신이 계획했던 대로 이루어져야 한다는 집착마저 포기한 후에야 운명과 맞닥뜨린 번역가의 삶을 그린 제35회 이상문학상 수상작 《맨발로 글목을 돌다》 등 저자의 매력적인 문장들과 속도감 있는 사건 전개가 돋보이는 작품들을 만나볼 수 있다. [스토리] 5년 전 찾아왔던 여자는 자기가 잃어버린 막내여동생이 아니냐고 묻는다. 그즈음 나는 내가 살던 수유리가 아닌 낡고 작은 출판사를 떠올린다. 그곳에서 만났던 23살의 청년은 간첩 혐의로 보안사에 끌려가 모진 고문을 겪었고, 내가 모시던 K교수님은 80년대 초 정권의 횡포와 타협하지 않고 청빈한 삶을 선택한다. 우리 모두는 분명 어디에서부터 흘러와 어딘가로 향한다. 우리의 인생은… 우리의 삶은..... [출판사 서평] 『인간에 대한 예의』(1994년),『존재는 눈물을 흘린다』(1999년),『별들의 들판』(2004년) 출간 이후 13년 만에 공지영 작가가 소설집 『할머니는 죽지 않는다』를 출간한다. 2000년 이후 집필, 발표한 작품들 중 21세기문학상, 한국소설문학상, 이상문학상 수상작과 신작 산문을 수록한 이번 작품집은, 작가의 매력적인 문장들과 속도감 있는 사건 전개 등이 돋보이는 작품들로 구성되어 있어, 끊임없이 장편소설을 집필하면서도 단편소설이 갖춰야 할 소설 미학을 지속적으로 유지해 왔다고 평가받은 작가의 최근 작품 경향을 한눈에 살펴볼 수 있는 책이다. 일찍 집을 떠나 서울로, 지방의 공장으로 떠돌다가 다시 고향땅에 돌아와서도 밑바닥 생활을 벗어나지 못하는 여자 순례가 다시 희망의 싹을 틔우는 「부활 무렵」, 죽음에 직면한 할머니를 둘러싸고 가족들 사이에 벌어지는 또 다른 죽음의 행렬 속에서 경악하는 소녀의 독백을 담은 「할머니는 죽지 않는다」, 탈출의 희망을 버리고 자신이 계획했던 대로 이루어져야 한다는 집착마저 포기한 후에야 운명과 맞닥뜨린 번역가의 삶을 그린 「맨발로 글목을 돌다」등은 그동안 작가가 죄의 용서와 화해, 고통과 번민을 통한 인간의 성장을 주제로 함으로써 한국문학의 독보적인 역할을 해왔음을 다시 한 번 증명케 한다. 주제의식뿐 아니라 기법 또한 뚜렷하다. 작가는 소설의 전통적인 기법인 3인칭 시점을 채택해 독자들로 하여금 단번에 이야기 속으로 빠져들게 만들거나, 작가 개인의 현실을 소설에 녹여냄으로써 독자들이 현실과 소설의 구분을 뛰어넘어 보다 다각적으로 읽게 만드는 메타적 소설 기법을 활용하고 있다. 작가의 장편소설에서는 볼 수 없었던 독특한 이야기 전개방식이 채택된 작품들은 독자들이 주인공과 내적 교감을 이루도록 만들면서 작가가 실험하는 소설 기법을 더 깊이 경험하게 한다.",https://audioclip.naver.com/audiobooks/ADEFA203BE
"구운몽 (민음사 세계문학, 완독본)",김만중,"몽자류 소설의 효시이자 시대마다 재생산되는 환상 문학의 원형 『홍길동전』과 함께 본격적인 소설 문학을 확립한 한국 고전의 정수 성진은 당나라 고승 육관대사의 제자 중 가장 총명하고 지혜로운 승려다. 스승의 명으로 수부에 간 성진은 용왕이 대접하는 술을 마시고 어지러워 연화봉 아래서 낯을 씻다가 육관대사를 찾았던 팔선녀와 마주한다. 팔선녀와 수작하다 돌아온 뒤로 성진은 속세의 욕망이 일어나 괴로워한다. 성진이 스승의 꾸짖음을 받고 염라대왕 앞에 끌려가니 팔선녀도 잡혀 와 있다. 이들은 모두 인간계로 영솔되고, 성진은 양소유라는 자로 환생해 장수가 되고 재상이 되고 공훈을 세우고 여덟 명의 여인과 여생을 즐기다, 이 모든 것이 하룻밤 꿈임을 깨닫는다.",https://audioclip.naver.com/audiobooks/D87DF9E3D2
"크눌프 (민음사 세계문학, 완독본)",헤르만 헤세,"헤세의 분신과도 같은 고독한 방랑자 크눌프 모든 구속과 탐욕, 집착을 버린 인생에 대한 성찰 성과와 목적만을 중요시하는 사회를 돌아보게 하는 아름다운 이야기 크눌프는 헤세의 여러 작품의 주인공들과 형제인 동시에 작가의 분신이기도 하다. 그는 직업과 결혼을 통한 평범하고 안정된 생활을 거부하고, 세상을 자유롭게 떠돌며 자연과 사람들을 관찰하고 자신의 방식대로 사랑한다. 『크눌프』가 처음 발표되었을 때 비평가들은 이 작품의 유려한 문체와 부드럽고 단순한 언어, 그리고 작품 속에 그려진 전원적인 풍경에 찬사를 보냈다. 또한 헤세는 그의 작품에 일관되게 나타나는 고독한 방랑자의 모습을 사실적이면서도 아름답게 그려 냄으로써 결코 젊음이 충동과 낭만으로만 이루어진 것이 아님을 이야기하고 있다. ▶ 나는 전지전능한 자세로 삶과 인간성에 대한 규범을 독자들에게 제시하는 것이 작가의 과제라고 생각하지 않습니다. 작가는 그를 사로잡는 것을 묘사할 따름입니다. 크눌프 같은 인물들이 저를 사로잡습니다. 그들은 ‘유용’하지는 않습니다. 그러나 그들은 해롭지도 않습니다. 더구나 유용한 인물들보다는 훨씬 덜 해롭습니다. 그리고 그들을 바로잡는 일은 나의 몫이 아닙니다. 오히려 나는 이렇게 생각합니다. 만약 크눌프처럼 재능 있고 영감이 풍부한 사람이 그의 세계에서 제자리를 찾지 못한다면, 크눌프뿐만 아니라 그 세계에도 책임이 있다고. ―헤르만 헤세, 어느 독자에게 보내는 편지에서 ▶ 헤세가 『크눌프』를 통해 이야기하려는 것은 함께 살아가는 사람들에 대한 이해와 사랑이다. 시민의 직업윤리와 기준으로 볼 때 무가치하고 아무 쓸모 없는 것일 수도 있으나 좀 더 넓은 시야로, 신의 시선으로 볼 때 크눌프와 같은 삶 또한 나름의 의미를 갖는다고 이야기하고 있다.―이노은, 작품 해설 중에서",https://audioclip.naver.com/audiobooks/A19ACA5B37
셜록 홈즈 단편선 1,아서 코난 도일,"전 세계인이 사랑하는 탐정 셜록 홈즈의 이야기!
셜록 홈즈 시리즈 중 유명하고도 작품성이 있는 단편들을 뽑아 완역한 번역본입니다.",https://audioclip.naver.com/audiobooks/14467A0716
목소리를 드릴게요,정세랑,"날카로운 비판조차 결 곱게 다듬은, 섬세하고 조심스러운 이들을 위한 놀이터. 정세랑의 세계에 오신 것을 환영합니다. 한국 문학의 대표 작가 중 한 명으로 성장한 정세랑의 데뷔 10주년 첫 SF 소설집. 지금 이곳, 현재의 한국 사회에서 사람들, 특히 여성들이 살아가는 모습과, 몰락해가는 인류 문명에 대한 경고를 8편의 SF 작품을 통해 그려낸다. 2010년부터 데뷔 시절부터 2019년까지 정세랑이 쓴 거의 모든 SF 단편들을 모았다. 8년이 넘는 시간차에도 불구하고, 확인할 수 있는 정세랑 스타일의 기원! 멸망을 향해 치닫는 인류를 위한 정세랑 작가의 서늘하고도 따뜻한 경고 “나는 23세기 사람들이 21세기 사람들을 역겨워할까 봐 두렵다. 지금의 우리가 19세기와 20세기의 폭력을 역겨워하듯이 말이다. 미래의 사람들이 이 시대를 경멸하지 않아도 될 방향으로 궤도를 수정할 수 있으면 좋겠다.” 여성성과 자연이라는 키워드로 엮은 정세랑의 세계, 당신도 정세랑의 동지가 되시겠습니까? “우리는 이제 우리와 닮은 존재가 아닌 닮지 않은 존재를 사랑하는 법을 배워야 하지 않을까?”",https://audioclip.naver.com/audiobooks/31E734DA7F
그리움을 위하여,박완서,"MBC 아나운서들과 문학동네가 함께 만든 ‘박완서 단편소설 전집’ 오디오북 7권. 박완서 단편소설 전집 7권 『그리움을 위하여』에는 2001년 2월부터 2010년 2월까지 발표된 열두 편의 작품이 수록되어 있다. 박완서 특유의 유려하고 생생한 문체로 녹여낸 노년의 삶에 대한 깊이 있는 성찰이 축복처럼 우리를 기다리고 있다. 전쟁과 분단, 사회와 개인의 아픔을 그 작은 몸으로 모두 받아낸 마지막 소설들.",https://audioclip.naver.com/audiobooks/6B7B944ADE
손자병법 3권 - 완독본,정비석,"출간 후 300만부가 팔려나간 최고의 베스트셀러 작가 정비석의 대표 소설로 2천4백여 년 전 춘추전국시대에 천하의 명장 손무와 그의 손자 손빈, 두 명장이 저술한 <손자병법>은 단순한 병서라기보다는 정치학, 기업경영, 처세학을 아우르는 인생지침서로 천하의 명장 손무와 그의 손자 손빈, 경국지색 서시, 와신상담으로 복수의 칼을 가는 5패 16국의 제왕들, 영웅과 미녀들이 엮어가는 흥망성쇠가 흥미진진하게 펼쳐진다. 제3권에서는 오나라(합려, 부차)와 월나라(구천)의 전쟁이 다루어진다. 전쟁에 대한 허무함과 덧없음을 느낀 손무가 제나라로 떠나고 오나라는 오자서의 지휘로 월나라 구천의 항복을 받는다. 월나라의 구천은 재상 범려의 도움으로 목숨을 구하고 미녀 서시로 부차와 오자서 사이를 이간질시켜 오자서를 자결케 하며 10년간의 치밀한 전쟁 준비로 오나라를 멸망시킨다. 제나라로 돌아간 손무는 병법공부를 후회하며 아이들을 가르친다. 손무의 손자 손빈은 손무보다 뛰어난 병법지식으로 자신을 해하려 한 친구 방연을 크게 격파하여 원수를 갚는다.",https://audioclip.naver.com/audiobooks/107FEB7812
돈키호테,세르반테스,"굽힐 줄 모르는 '용기'와 '끝없는 도전'의 주인공 돈키호테! 양떼들과 전투를 하고, 풍차를 향해 돌진하는 돈키호테! 그의 진실한 마음과 우직한 용기, 힘찬 도전을 지금 함께 해 보세요! 한 시골 마을의 귀족 돈 키호테.. 그는 기사도에 관한 책을 너무 많이 읽은 나머지 스스로 기사라는 망상에 사로잡혀 세상의 부정과 맞서 싸우겠다는 결심을 한다. 그리고 힘없는 백성들을 괴롭히는 악당을 이 세상에서 모조리 물리치기 위해 할아버지가 오래 전에 입었던 낡은 갑옷과 녹슨 창, 방패를 꺼내 무장한 뒤 비쩍 마른 말을 타고 고향을 떠난다. 이런 돈키호테를 친구와 이웃들은 말리기도 하고 비웃기도 하지만 아무 소용이 없는데… + 세계에서 성경 다음으로 가장 많이 출판된 책, 돈키호테! 세계 소설사상 최초로 문학 속의 ‘인간’을 창조해냈다는 평가를 받을 정도로 돈키호테는 인간의 본질이 가장 완전하고 날카롭게 표현된 인물이다. 러시아 소설가 이반 투르게네프는 〈햄릿과 돈키호테〉라는 에세이에서 사색과 회의에 몰두하는 우유부단한 사색형 인간 햄릿과, 자신의 이상을 향해 무모하지만 용기 있게 나아가는 행동형 인간 돈키호테로 인간의 대표적 성향을 이분했고, 영문학자 이언 와트는 『근대 개인주의 신화』라는 책에서 서양 근대문학사에서 가장 널리 알려진 캐릭터로 파우스트, 돈 후안, 로빈슨 크루소와 함께 돈키호테를 꼽기도 했다",https://audioclip.naver.com/audiobooks/C030544CF2
엉큼한 맞선 1권,강영주,"한국대 병원에서 성질 더럽기로 소문난 전설의 외과의사 차강준. 그를 맞선장소에서 보게 될 줄이야! 얼마 후면 일반외과 레지던트로 들어가야 하는데, 이 맞선 잘못되면 난… 살아남을 수 있을까? “그러니까 인턴, 네가 왜 여길 나온 거지?” 나은은 슬그머니 고개를 들어 강준의 얼굴을 마주 보았다. 새카만 눈동자가 강한 의문을 품은 듯 깊고도 짙었지만, 메스(mes)를 들고 설칠 때의 살벌한 기운은 느껴지지 않았다. 그래서였을까. 잠시 겁을 상실한 나은이 갑갑한 마음에 대뜸 되물었다. “그건 제가 묻고 싶은 말입니다.” 나은은 무언가를 확인하고 싶어 하는 그의 표정에 숨을 삼켰다. “재미있네.” 그는 보란 듯이 테이블 위로 팔을 걸치며 거리를 좁혀 왔다. 뭐, 뭘 하려고 저러는 거지? “그냥 보내려고 했는데 좀 궁금해지네.” 한 손으로 턱을 받친 채 바라보는 강준의 시선이 날카롭게 빛났다. 누군가에겐 계획적인 만남이고 누군가에겐 벼락같은 사건인 이 엉큼한 맞선의 결과는?",https://audioclip.naver.com/audiobooks/CB3E4DF5DC
