titles,authors,informs,clip_links
셜록 홈즈 단편선 2,아서 코난 도일,"전 세계인이 사랑하는 탐정 셜록 홈즈의 이야기!
셜록 홈즈 시리즈 중 유명하고도 작품성이 있는 단편들을 뽑아 완역한 번역본입니다.",https://audioclip.naver.com/audiobooks/BA4B4E3CC8
폭군에게 차이는 10가지 방법 2권,서귀조,"아름다운 폭군 남주에게 집착하다가 죽임당하는 약혼녀가 되어 버렸다. 나는 부지런히 그에게 차일만한 행동을 한 열 개쯤 한 뒤, 생각보다 나쁘지 않은 폭군과 건전한 친구 관계가 되는 데 성공했다. 그 리고 여주를 처음으로 본 그에게 물었다. “어땠어요?” “음?” “디엘 영애 말이에요, 폐하.” 그가 고개를 슬쩍 기울였다. 관심 없는 척하기는! 첫눈에 반했다고 써 있었는데. 내가 다 봤는데. 흐흥, 웃으며 그의 팔뚝을 손가락으로 한 번 콕 찔렀다. “있잖아요. 혹시라도 달리 좋아하는 사람 생기면 꼭 말해 주세요.” “왜요? 죽이게?” 에이. 내가 자긴 줄 아나. 나는 그에게 의미심장하게 웃으며 답해 주었다. “그야, 적당히 타이밍 봐서 파혼해 드린다는,” “영애.” 그의 얼굴에서 순식간에 웃음기가 사라졌다. 나는 어쩐지 이글거리는 그의 눈빛에 말을 잇지 못했다. 나를 빤히 보던 그가 조금 허스키한 목소리로 작게 웃더니, 가라앉은 목소리로 말했다. “그런 농담은 하지 마요.” 볼에 묻은 머리카락을 부드럽게 떼어내는 손길이 자못 은밀했다. “그러다 내가 돌면 어쩌려고 그래.” ……거기서 왜 네가 돌아 버리는 거죠?",https://audioclip.naver.com/audiobooks/676EBCA7E8
"적빈 (RESOUND 단편, 문예주 낭독)",백신애,"「적빈」은 1934년 11월 『개벽』에 처음 발표된 백신애(1908-1939)의 소설입니다. 이후 1938년 개작본이 『현대조선문학전집』 에 수록되었습니다. ‘적빈(赤貧)’은 매우 가난하다는 뜻으로, 이 작품은 제목 그대로 일제 강점기 처참한 빈곤에 휩싸인 농촌 지역 민중들의 어려운 현실을 핍진하게 형상화하였습니다. 남의 집 허드렛일로 간신히 연명하는 ‘매촌댁’은 자신의 생계 뿐 아니라, 무능력한 아들들과 며느리들의 생계까지 떠안고 있는 인물입니다. 두 며느리의 해산을 앞두고 매촌댁은 새 생명이 탄생한다는 것에 대한 어떤 기대나 희망도 품지 않습니다. 벗어날 길 없는 가난에 대한 절망이나 서글픔 등의 감정도 느낄 겨를이 없습니다. 그에게 절실한 것은 오로지 생존본능입니다. 자신이 생존하고, 식솔들을 생존시키기 위해 죽을힘을 다 합니다. 특히 매촌댁이 ‘사람은 똥힘으로 산다’면서 변의조차 참는 마지막 장면은 표현하기 어려운 압도적인 비애를 자아냅니다. 「적빈」의 오리지널 사운드트랙을 작곡한 '강이채'는 버클리 음대를 졸업하고 클래식과 재즈 등 다양한 장르를 섭렵한 바이올리니스트이자 싱어송라이터입니다. 신비로운 분위기와 보이스, 화려한 바이올린 연주, 실험적인 사운드부터 대중적인 멜로디까지 강이채만의 독특한 스타일로 평단과 대중 모두로 부터 열렬한 지지를 받고 있는 신세대 뮤지션입니다. 영화 ‘기생충’을 본 분이라면 누구나 짜파구리를 요리하는 장면이 떠오를 것입니다. 주인 가족이 갑자기 집으로 돌아오는 긴박한 상황에서 짜파구리를 끓일 때 흘러나오는 바이올린 솔로 곡이 강이채의 연주곡입니다. 그 외, 영화 ‘기생충’ OST의 메인 타이틀곡인 ‘믿음의 벨트’에도 바이올린 연주자로 참여했습니다. 100년 전 우리 소설, 아름다운 소리로 만나다 ‘Resound 단편’ 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. ‘Resound 단편’ 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 ‘Resound 단편’ 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/EE337A5F70
아빠가 된 일진짱,하얀고양이,뭐? 아직 결혼도 안한 새파랗게 젊은 고등학생이 아빠가 됐다구? 얼굴짱! 싸움짱! 공부짱! 쓰리 타이틀의 주인공 [권.강.한]과 얼굴 평범. 몸매 평범. 모두~ 평범한 여주인공 [류.신.아] 의 좌충우돌 하이틴로맨스~ 강아 : “으앙~~ 아빠! 나 배고파 집에 들어가자~~” 강한 : “뭐…!!!!? 너 지금 누구더러 아빠라는 거야???” 동생의 치료비를 받겠다고 겁도 없이 학교 짱을 찾아간 류신아. 강한은 치료비를 줄 테니 자신의 집으로 찾아오라고 하는데… 때마침 작은아버지의 부도로 졸지에 집을 잃게 된 류신아. 우여곡절 끝에 고아로 보이는 꼬마 강아와 함께 강한의 집에서 함께 살게 된다. 학교에서는 평범한 학생 신아와 잘생기고 전교1등인 짱 강한의 사이가 알려지며 일대 난리가 나는데… “아 놔~ 왜 나를 가만히 놔두질 않는 거야~ 잘난 것도 죄야?”,https://audioclip.naver.com/audiobooks/FB009D6126
조선 명탐정 정약용,이수광,"[본 오디오북은 '요약본'입니다.] 미궁에 빠진 살인사건을 풀어가는 명판관 정약용의 활약을 통해 조선 사회의 법과 정의, 어두운 권력의 그림자를 들여다본다. 조선왕조실록에 수록된 미스테리한 살인사건의 발생부터 해결 과정, 판결에 이르기까지, 명판관으로 활약하는 정약용의 모습을 만난다. 얼마 전 대법원은 ‘청소년용 재판교재’를 출간하면서 세계적인 명판관으로 솔로몬, 포청천, 그리고 우리나라의 다산 정약용을 꼽았다. 『흠흠신서』를 통해 치열한 법리 논쟁을 보여주었기 때문인데, 이 책에서는 조선시대 형조참의를 역임하면서 살인사건을 수사하고 판결한 유능한 판관으로서의 정약용의 삶을 다룬다. 이 책은 조선시대에 실제로 일어났던 사건을 재판하는 과정과 판결문까지를 담아낸다. 대한민국 팩션 역사서의 대가 이수광은 『조선 명탐정 정약용』에서 소설의 틀을 빌려 정약용의 삶과 당시 조선의 법, 그 집행에 관한 이야기를 긴장감 있게 풀어내고 있으며, 역사로 기록되어 전해지는 미스테리한 살인사건과 정조 독살설을 집중적으로 다루어 흥미를 더한다. 이 책에서 정약용은 법에 대한 흔들림 없는 잣대와 논리적인 접근으로 날카롭고 명쾌한 판단을 내리고 있다. 특히 책에서 다루고 있는 사건들은 여론과 실정법의 충돌로 법리논쟁이 치열하게 벌어지는 상황, 정당방위의 한계에 대한 논의, 법의 울타리를 넘어 남용되는 권력의 실태 등을 담아내며 현재를 살아가는 이들에게도 법과 정의에 관한 의미 있는 물음을 던진다.",https://audioclip.naver.com/audiobooks/BBB70E803A
프란츠 카프카의 시골의사,프란츠 카프카,"<프란츠 카프카, 그의 기괴하고 신비로운 이야기, 시골의사!!> 초현실적인 공간에 시골의사가 버려져있다. 환자에게 가야만하는 운명을 가진 시골의사. 그는 자신의 소중한 사람까지 잃고 눈길을 날아 환자곁으로 간다. 하지만, 그는 누구도 구원하지 못한다. 시골의사, 그는 또 다른 모습의 누구인가? 그 기괴하고 신비로운 이야기가 시작됩니다.",https://audioclip.naver.com/audiobooks/2290EFEBB8
별뜨기에 관하여 2 - 별뜨기에 관하여,이영도,"『드래곤 라자』, 『눈물을 마시는 새』의 작가 이영도가 선보이는 기상천외한 SF 권성혁, 이새아 성우의 생동감 넘치는 연기와 풍성한 음향 효과로 만나는 위탄인 시리즈 드라마 오디오북! ""별을 만들어내지야 않습니다. 적절한 시점을 찾아낼 뿐이지요. 저는 그걸 별뜨기라 부릅니다."" 문교촉위를 통해 다수의 외계 문화권을 인지하게 된 바야흐로 우주 개척 시대, 지구인 '나'와 위탄인 '제르비'는 다른 외계 문화권의 계급 갈등을 해결하기 위한 화합의 별자리를 찾기 위해 파트너로서 우주를 함께 여행하는 중이다. 이들은 같은 템섹 우주선에 탑승한 채 스크린과 번역기를 통해 소통하지만 생활 방식이 완전히 다르기 때문에 철저히 분리된 격벽을 가운데 두고 생활하고 있다. 그러던 어느 날, 별자리 찾기에 대한 논쟁을 벌이던 제르비는 점성학자로 과거 '나'의 행적을 두고 살인자라는 비난을 퍼붓기 시작하는데……. 새로운 외계 문명과 함께 우주를 개척해 나아가는 과정을 이영도 작가 특유의 위트와 주제의식으로 담아낸 SF 단편! ""조금만 기다리라고. 짝패. 늦었지만 우리 아이들 중 일부는 너희들을 따라갈 수 있을 거야. 우리 아이들과 별들은 무슨 그림을 그릴지 궁금해."" *원작 소설인 위탄인 시리즈 순서상 <카이와판돔의 번역에 관하여>를 먼저 듣는 것을 추천드립니다. - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록",https://audioclip.naver.com/audiobooks/89307D1929
"위폐범들 (민음사 세계문학, 완독본)",앙드레 지드,"1926년 출간된 『위폐범들』은 앙드레 지드가 자신의 유일무이한 ‘소설’이라고 했을 뿐만 아니라 ‘마지막 작품’이라 생각하고 자신의 모든 것을 담고자 한 작품이다. 자신이 사생아임을 우연히 알고 집을 나온 혈기왕성한 청년 베르나르, 온화하지만 세상과 마주보는 것이 서툴렀던 문학소년 올리비에, ‘글쓰기’에 대해 진지하게 고민하는 지식인 에두아르, 그리고 이들을 둘러싼 수많은 등장인물들의 일화가 얽히고설킨 이 ‘소설’은 마치 위조화폐처럼 거짓된 모습으로 거짓 세계 속을 표류하는 이들이 진정한 자아와 삶의 의미를 발견해 가는 여정을 그린다. 『위폐범들』에서 앙드레 지드는 제도와 인습에 대한 반항, 동성애, 성실성, 선과 악 문제, 삶의 양식 등, 너무나 “지드적인” 주제를 통해 모순으로 가득한 현실과 자신에게 주어진 불합리한 환경에서도 ‘최선을 다해’ 살아가는 것이야말로 진정함 ‘삶’이며 눈부신 ‘내적 성장’임을 보여 준다. * “프랑스적 사유의 한 지표가 되는 작가,”-사르트르""",https://audioclip.naver.com/audiobooks/5D3A112A5B
데미안,헤르만 헤세,"‘나는 그저 내 속에서 저절로 우러나오는 삶을 살고자 했을 뿐이다. 그런데 그것이 왜 그토록 어려웠을까?’ 모든 인간의 인생은 자기 자신으로 향하는 길이고, 하나의 길을 가려는 시도이나 좁고 쓸쓸하고 외로운 길의 암시다. 일찍이 그 어떤 인간도 완전히 자기 자신이었던 적은 없다. 그럼에도 모든 인간은 자기 자신이 되고자 노력한다. 모든 인간은 자기 탄생의 잔재를, 태고의 점액과 껍질을 죽을 때까지 지니고 다닌다. 모든 개개인은 인간으로 향하는 자연의 자식이다. 어머니라는 기원은 우리 모두 똑같다. 우리는 모두 동일한 심연에서 유래한다. 그러므로 우리는 서로 이해할 수는 있지만, 해명할 수 있는 것은 오직 자기 자신뿐이다. ‘새는 알에서 나오려고 애쓴다. 알은 곧 세계다. 태어나고자 하는 자는 하나의 세계를 파괴하지 않으면 안 된다. 그 새는 신을 향해 날아간다. 그 신의 이름은 아브락사스.’ 나를 찾아가는 길, 헤르만 헤세의 <데미안>",https://audioclip.naver.com/audiobooks/EEBB4089DE
정우성이 읽는 조지 오웰의 코끼리를 쏘다,조지 오웰,코끼리를 쏘다(Shooting an Elephant) 1936년 ≪뉴라이팅(New Writing)≫ 가을호에 처음 실렸다. 작가 자신이 20대 초반 미얀마에서 제국 경찰로서 복무한 체험을 바탕으로 쓴 작품으로 오웰의 산문 중 최고의 작품으로 인정받고 있다. 제국주의를 증오하면서도 제국 경찰로서 복무하는 딜레마에 빠져 있는 주인공은 한 사건을 계기로 제국주의의 숨겨진 본질이 무엇인지 깨닫는다.,https://audioclip.naver.com/audiobooks/A665C58AC0
