titles,authors,informs,clip_links
어느 전투 조종사의 사랑,장소영,"대한민국 공군 전투기 조종사라는 하나의 목표만을 향해 달려온 지윤. 한순간의 나약함도 허락할 수 없는 그녀는 단 한 걸음 만에 자신의 철통 같은 방어막을 부셔버리는 우혁을 받아들일 수 없었다. ""전 여자 전투 조종사입니다. 여자가 남자들만의 성역이었던 이곳에서 전투조종사가 되려면 무엇을 감수해야 하는지 아십니까? 자신이 여자라는 것조차 잊어야 합니다. 남자들과의 체력싸움에서 뒤지지 않아야 하는 것은 물론이고, 한순간이라도 나약한 모습을 보인다면 '여자가 그럼 그렇지'라는 식의 비난을 감수해야 합니다. 남자들이 하면 그냥 실수지만 여자 전투 조종사인 제가 실수하면 모든 여자 전투 조종사들 전부를 한 덩어리로 묶어 비난하게 됩니다. 거기다 저는 한번도 여자를 받아들이지 않았던 KF-16대대의 여자 전투조종사란 말입니다!"" 드넓은 활주로와 푸른 창공을 배경으로 펼쳐지는 어느 전투 조종사의 사랑 이야기!",https://audioclip.naver.com/audiobooks/83DE7534A2
폭군에게 차이는 10가지 방법 3권,서귀조,"아름다운 폭군 남주에게 집착하다가 죽임당하는 약혼녀가 되어 버렸다. 나는 부지런히 그에게 차일만한 행동을 한 열 개쯤 한 뒤, 생각보다 나쁘지 않은 폭군과 건전한 친구 관계가 되는 데 성공했다. 그 리고 여주를 처음으로 본 그에게 물었다. “어땠어요?” “음?” “디엘 영애 말이에요, 폐하.” 그가 고개를 슬쩍 기울였다. 관심 없는 척하기는! 첫눈에 반했다고 써 있었는데. 내가 다 봤는데. 흐흥, 웃으며 그의 팔뚝을 손가락으로 한 번 콕 찔렀다. “있잖아요. 혹시라도 달리 좋아하는 사람 생기면 꼭 말해 주세요.” “왜요? 죽이게?” 에이. 내가 자긴 줄 아나. 나는 그에게 의미심장하게 웃으며 답해 주었다. “그야, 적당히 타이밍 봐서 파혼해 드린다는,” “영애.” 그의 얼굴에서 순식간에 웃음기가 사라졌다. 나는 어쩐지 이글거리는 그의 눈빛에 말을 잇지 못했다. 나를 빤히 보던 그가 조금 허스키한 목소리로 작게 웃더니, 가라앉은 목소리로 말했다. “그런 농담은 하지 마요.” 볼에 묻은 머리카락을 부드럽게 떼어내는 손길이 자못 은밀했다. “그러다 내가 돌면 어쩌려고 그래.” ……거기서 왜 네가 돌아 버리는 거죠?",https://audioclip.naver.com/audiobooks/905CF484AE
굿모닝 미드나이트,릴리 브룩스돌턴,"이 오디오북은 한국출판문화산업진흥원(KPIPA)의 ‘2020년 오디오북 제작 지원’ 사업 선정작입니다. 조지 클루니 주연, 제작 넷플릭스 <미드나이트 스카이> 원작 소설 “우주의 차가운 망망대해, 혹은 고독이라는 인간의 심연을 아름답게 기록한 작품” _콜슨 화이트헤드(퓰리처상 수상작가) 릴리 브룩스돌턴의 데뷔 소설 《굿모닝 미드나이트》는 여러 가지 면에서 이색적인 이력을 갖는 작품이다. 2015년 《내가 사랑한 모터사이클》이라는 에세이 한 권을 출간한 신인 작가 브룩스돌턴은 이듬해 자신의 두 번째 책으로 ‘지구 종말’을 소재로 한 독특한 소설 한 편을 써냈다. 이 작품은 무명작가의 첫 소설임에도 아름다운 문장과 쓸쓸한 감성으로 ‘시카고 리뷰 오브 북스’ ‘셀프 어웨어니스’에서 선정한 ‘올해의 책’으로 뽑혔고, 퓰리처상 수상작가인 콜슨 화이트헤드가 자신이 가장 좋아하는 작품으로 소개해 눈길을 끌었다. “아름다운 문장으로 기억과 상실, 정체성을 탐험하는 보기 드문 아포칼립스 소설”(워싱턴포스트), “세계의 모든 것이 사라졌을 때 마지막 남는 것이 무엇인가라는 묵직한 질문을 던지는 감동적인 데뷔작”(북리스트), “북극과 우주라는 장엄한 공허 속에 남겨진 두 사람을 통해 삶에 관한 흥미로운 질문을 던지는 매혹적인 작품”(뉴욕 저널 오브 북스) 등 출간 당시 여러 매체에서 호평을 받은 바 있다. 그리고 3년 뒤인 2019년 할리우드의 배우 겸 감독인 조지 클루니가 이 작품을 영화화한다는 소식이 전해지면서 다시 전 세계의 주목을 받고 있다. 지구 종말에 관한 가장 아름다운 절망을 담은 소설 “코맥 매카시의 《로드》와 영화 <그래비티>를 합쳐놓은 듯하다” 78세의 천문학자 어거스틴은 북극 기지의 천문대에 남은 마지막 연구원이다. 평생 오지의 천문대를 떠돌며 별을 연구하는 데 일생을 바쳐온 그는 자신의 생을 마감할 장소로 북극을 택해 들어왔다. 어느 날 알 수 없는 이유로 연구자들에게 모두 철수 명령이 내려지지만 어거스틴은 이를 거부하고 고집스레 북극에 홀로 남는다. 그리고 모두가 떠나간 황량한 그곳에서 수수께끼의 어린 소녀 아이리스를 발견하고 당황한다. 예기치 못하게 어린 소녀를 돌보게 된 어거스틴은 북극의 혹독한 환경 속에서 나날이 쇠약해지자 아이를 위해 바깥세상과 연락을 시도하지만 어느 곳에서도 응답은 없다. 동시에 생의 마지막을 앞둔 어거스틴은 그동안 외면해온 과거의 기억들을 떠올린다. 폭력적이던 아버지, 조울증을 앓던 어머니, 그리고 두려움에 굴복해 한 번도 만나보지 못한 딸에 관한 기억까지. 한편 목성에서 지구로 귀환 중인 우주선 에테르 호에는 통신전문가 설리가 타고 있다. 에테르 호의 임무는 성공적이었고, 마침내 설리는 자신이 치러야 했던 희생(남편과의 이혼과 딸과의 이별)에 보상을 얻는 듯했다. 하지만 갑자기 지구 관제소와 연락이 두절되면서 설리는 물론 대원들은 큰 혼란에 빠진다. 인류 역사에 남을 과업을 성취했지만 이 소식을 전할 곳이 없다. 핵전쟁 때문인지, 바이러스 때문인지, 소행성 충돌 때문인지 여전히 원인을 알 수 없는 채로 지구는 긴 침묵에 빠져 있다. 설리는 자신들이 지구로 돌아갈 수 있을지, 돌아간다 해도 그곳에서 무엇이 기다리고 있을지 몰라 불안에 휩싸인다. 어거스틴과 설리는 각각 북극과 우주라는 혹독하고 신비로운 자연 속에서 절망적인 앞날을 예감하며 자신들의 삶을 돌아보고 복잡한 내면과 마주한다. 그리고 마침내 북극의 어거스틴과 우주의 설리는 짧은 순간 교신에 성공한다. 북극에 고립된 천문학자와 지구로 귀환 중인 우주비행사라는 두 아웃사이더가 생의 종착지를 앞두고 지난날의 사랑과 회한에 대해, 나아가 인간의 삶과 고독에 대해 우아하게 그려낸 작품이다.",https://audioclip.naver.com/audiobooks/4603950E70
비행운 <벌레들>,김애란,"김애란이 돌아왔다. 2012년 올해로 등단 만 10년 차가 되는 시간 동안 공백 없이 작품을 발표해오기도 했지만, 지난해 출간한 첫 장편소설 <두근두근 내 인생>으로 차세대 '젊은 작가'라는 수식어를 2010년대 대표 작가로 갈아치운 그녀다. 많은 사랑과 기대를 한 몸에 받으며 세번째 소설집 <비행운>을 가지고 왔다. '비행운'은 새로운 삶을 동경하는 형식으로(飛行雲), 하지만 현실을 벗어나지 못하게 하는 연쇄적 불운(非幸運)에 발목 잡힌 '우리들'의 이야기를 담고 있다. 문학평론가 박준석이 말했듯 ""김애란 소설은 우선 안부를 묻고 전하는 이야기, 말하자면 하이-스토리hi-story라고 부를 수 있다. 이 안부에는 개인적인 소소한 안녕을 넘어선 어떤 윤리""를 가지고 동세대의 실존적 고민을 드러내며 살아남은 자들에게 인사를 전한다. 친구처럼 곁에서 나의 이야기를 들어주러 온 듯 이번 소설집에서도 김애란은 자신의 매력을 백분 발휘한다. 또한 좀더 많은 세대와 공간을 아우르며 '확장'을 시도하기도 하는데, 그것은 김애란 '너머'를 발견하게 하는 기회를 마련해줄 것이다. 2011 젊은작가상 대상 수상작 '물속 골리앗', 2010 이상문학상 우수상 수상작 '그곳에 밤 여기에 노래' 등 모두 8편이 수록되어 있다. 그 사람들은 우리 주변에 있는 사람 이거나 나 자신일지도 모른다. 남편과 나는 장미빌라로 이사를 왔다. 그런데 이 장미빌라 뭔가 이상하다. 다른 곳에 비해서 유독 싼 집 값, 왕래가 거의 없는 사람들, 그리고, 출처를 알 수 없는 정체모를 벌레들 까지... 이 집 뭔가 이상하다.",https://audioclip.naver.com/audiobooks/4BD6FE1AAB
사랑의 불꽃 (Resound단편),노자영,"「사랑의 불꽃」은 총 19편의 연애편지로 구성된 '노자영'의 서간집입니다. 총 19편의 연애편지로 구성된 서간 중 6편을 엄선해서 오디오북으로 제작했습니다. 초판 판권엔 저가가 ‘미국인 (선교사) 오은서’로 되어 있는데, 오은서는 가공의 인물이고, 책이 대중적 성공을 거두자 나중에서야 노자영으로 저자를 바꿉니다. 「꿈에 본 처녀에게」와 「독약을 마신 후에」를 포함해 19편의 편지는 당대의 유행처럼 번지던 연애지상주의를 변주한 내용을 품고 있습니다. 봉건적 관습으로 인해 강제 결혼을 당했던 인물이 등장하고 배신자에게 날 선 편지를 보내는 인물이 등장하기도 하며, 연애 자체에 대한 불신을 표하는 인물이 등장하기도 하는 등 연애의 거의 모든 것을 망라하고 있습니다. 근대 최초의 베스트셀러라 부를 수 있는 작품집으로 비유, 과장, 반복, 영탄 등으로 점철된 수사가 인상적이라는 평을 받습니다. 「사랑의 불꽃」의 오리지널 스코어를 작곡한 '이원술'은 다양한 뮤지션들의 공연과 음반 제작에 활발히 참여해온 재즈베이시스트입니다. 2012년, 자신의 이름으로 낸 첫 앨범인 「Point of Contact」는 당시 한국 재즈 역사의 한 페이지를 장식할 가장 탁월한 성과라는 찬사를 받았습니다. 현재 '신노이(SINNOI)'라는 트리오 밴드의 리더를 맡아서 한국 컨템포러리 뮤직의 지평을 열어가고 있습니다. 100년 전 우리 소설, 아름다운 소리로 만나다. [Resound 단편] 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. [Resound 단편] 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져, 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 [Resound 단편] 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/F6D2C13151
"제인 에어 2 (민음사 세계문학, 완독본)",샬럿 브론테,150년 동안 전 세계 젊은 독자들을 가슴 뛰게 만든 로맨스 소설의 고전. 한국 영미문학연구회가 선정한 최우수 번역본으로 다시 읽는다! 당대 최고의 베스트셀러였으며 150년이 지난 오늘날까지도 톱셀러의 대열에 올라 있는 『제인 에어』는 시대와 장소를 뛰어넘는 그야말로 “고전 중의 고전”이다. 국내 출간된 수십 종의 번역본 가운데 가장 원전에 충실하면서도 유려한 번역으로 손꼽힌 유종호의 번역으로 새롭게 읽어 보자.,https://audioclip.naver.com/audiobooks/CE1C08C631
좁은 문,앙드레 지드,"앙드레 지드의 노벨문학상 수상작. 1909년에 간행되었다. 비인간적인 자기 희생의 허무에 대한 강한 비판의 글이면서도 고뇌 속에 감미로운 청춘의 정서가 감도는 작품이다. 주인공 알리사는 사촌 동생 제롬을 사랑하면서도 현세적인 사랑을 눌러버리고 남몰래 죽어간다. 제롬을 사랑하는 여동생에 대한 동정심이 그 원인이었다. 이 사건은 알리사의 모델이었던 지드의 사촌누이 마들렌(뒤에 지드의 부인이 되었다)의 실제 경험이기도 했다. 당신은 완전한 사랑을 믿는가? 너무나 가볍고 변하기 쉬운 요즘 사랑에 경종을 울려줄 진실한 사랑에 대한 메시지,<좁은 문> 또한 지나친 금욕주의가 얼마나 큰 희생과 허무가 뒤따라야 하는지 절실하게 보여줌으로써 사랑의 소중함을 더욱 일깨워 준다. 고전을 드라마로 듣는 즐거움을 느끼게 해 줄 것이며, 특히 방학을 맞이한 청소년들에게는 권장도서인 <좁은 문>을 좀 더 쉽고 재미있게 접할 수 있게 해 줄 것이다.",https://audioclip.naver.com/audiobooks/7A87110956
울지 않는 이유,정은숙,"학기 초 ‘백 원 빌리기’ 작전으로 반 친구들에게 적극적으로 얼굴을 알릴 만큼 활발한 성격이었던 일진. 그러나 시간의 흐름을 느낄 수 없을 만큼 매일매일의 일상이 똑같다는 자각은 일진의 입을 굳게 다물게 만든다. 어느 날 학교에서는 ‘교내 휴대폰 소지 금지’ 교칙과 관련한 공청회가 열리고, 장래희망이 인권운동가라 써냈던 일진은 친구들의 성화에 패널로 참여하게 된다. 공청회를 거쳐 세워진 교칙은 수업 시간에 휴대폰을 수거함에 넣는 것. 그러나 이후 수업 시간에 일진의 휴대폰이 울리면서 징계를 받게 되는데……. *** A.C.E의 멤버 동훈이 낭독하는 정은숙 작가의 [울지 않는 이유]는 아이돌 및 각계 저명인사의 목소리 재능을 기부받아 소리책을 만들고 이를 통해 청각 장애인에게 희망의 소리를 선물하는 캠페인에 참여한 작품이다. 캠페인 수익금의 일부는 사랑의 달팽이 재단에 기부되어, 경제적 어려움으로 소리 없는 세상에 살고 있는 난청 아동들에게 희망의 소리를 선물해주기 위한 지원 기금으로 사용되어진다.",https://audioclip.naver.com/audiobooks/3836BEBBE9
환상 속에 그대가 있다,진휘,"그다지 예쁘지도 않고, 썩 괜찮은 몸매를 가진 것도 아닌 전형적인 B형 노처녀 김희선. 과거의 사랑에 연연하지 않은 쿨한 그녀이지만 아직도 혼자라는 사실에 문득 외롭다는 생각이 드는 것은 어쩔 수가 없다. 서른둘을 코앞에 둔 크리스마스이브, 홧김에 나간 홍대거리의 키스 타임에 새파랗게 젊은 상욱을 만나 엉겁결에 키스를 하게 될 줄은 꿈도 꾸지 못했다. 그리고 그것이 녀석과 그녀, 그리고 녀석의 형 상현까지 얽히는 끈질긴 인연의 시작이 되리라는 건 더더욱 생각 지도 못한 일이었다! 조금은 엉뚱하고 털털한 그녀, 서른 둘 김희선의 사랑이야기! [책 속으로] “공과 사는 구분하시죠. 김희선 씨! 지금은 공적인 만남인 걸로 아는데요? 기분 나쁘면 사적인 자리에서 한 판 붙든가!” 그는 희선의 공격에 맞붙을 생각이 없는지 스르륵 다음 서류를 집어 들며 말을 돌렸다. “그래요. 좋아요, 한 사장님! 그럼 끝나고 술 한잔하시죠? 사적으로다가!” 이를 바득바득 갈며 힘주어 말하는 희선의 말에 상현은 콧방귀를 끼더니 재고의 가치도 없다는 듯 서류로 다시 시선을 돌렸다. “남자들은 자기가 정말 잘난 줄 아는데, 괜히 폼만 잡다가 망신살 뻗치는 거죠. 안 그런가요?” 슬슬 상현의 자존심을 건드려 볼 생각에 희선은 쉬지 않고 말을 이었다. “왜? 술 먹고 또 남자 꼬드기려고 그럽니까?” “참 나, 기가 막혀! 저, 눈 높거든요! 제가 아무나 꼬드기고 그러지 않거든요.” “꼬드긴다고 넘어갈 나도 아닙니다.” “아이고, 그러세요? 그럼 뭐가 겁나서 꼬리를 내리시나요?” “무서워서 피합니까? 더러워서 피하지.”",https://audioclip.naver.com/audiobooks/FD29C57737
