titles,authors,informs
머스그레이브 가의 의식,아서 코난도일 저,"추리문학의 금자탑, 코난도일의 홈즈 시리즈, 머스 그레이브 가문에서 대대로 전통적으로 행해지는 의식의 비밀은 무엇인가!"
[증명된 사실] 무서운 도마뱀,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
김동인의 광염 소나타,김동인 저,"조선에서 제일가는 음악평론가 K씨가 사회교화자 이씨에게 불세출의 천재 백성수의 이야기를 담담히 풀어낸다. 인간의 광기와 예술. 그 경계는 어디까지인가. 김동인의 ‘광염소나타’를 보기 쉽게, 현대적 해석에 맞춰 재구성한 작품이다.. 백성수의 일그러진 예술혼을 살펴보자."
실버 블레이즈,아서 코난도일 저,"우승마로 꼽히는 실버 블레이즈가 갑자기 실종되고 조교가 사망하는 사건이 일어납니다. 의혹을 밝히기 위해 홈즈와 왓슨은 킹스 파일랜드로 향합니다. 우승을 예상한 경주마 실버 블레이즈가 실종됩니다. 대회에 출전하지 못하게 하려는 술책일까요? 추리 문학의 금자탑, 셜록 홈즈 시리즈 [실버 블레이즈]입니다."
나무를 심은 사람,장 지오노 저,"'희망을 심고 행복을 가꾼' 한 사람이 메마르고 황폐한 땅에 홀로 수십 년 동안 나무를 심어 황무지를 생명이 살아 숨쉬는 숲으로 바꾸어놓는 이야기로, 작가가 자신의 경험을 바탕으로 첫 원고를 쓴 뒤 20여 년 동안 다듬어 완성한 작품이다. 1953년 처음 발표된 이래 지금까지 25개 언어로 번역되어 세계적으로 널리 읽히고 있다. 이토록 짧은 작품이 우리에게 깊은 감동과 울림을 주는 이유는 깊은 문학적 향기와 더불어 강력한 메시지를 전하기 때문이다. 공기와 물과 땅이 죽어가고 뭇 생명이 고통받는 파멸의 시대에, 생명을 사랑하며 그것을 가꾸는 숭고한 한 사람의 이야기를 통해 앞으로 현대 문명이 나아가야 할 방향을 가르쳐주는 한 편의 탁월한 '우화'이기 때문이다. 자신을 위해서가 아니라 '우리'를 위해, 공동의 선을 위해 아무런 대가와 보상도 바라지 않고 자신을 바쳐 일한 한 사람의 고결한 정신과 실천이 이 '지구의 모습'을 바꾸어놓고 '세상'을 바꾸어놓는 기적을 감동적으로 보여준다. 이를 통해 우리의 마음속에 '희망의 나무'를 심어주고, 우리의 메마른 영혼 속에 푸른 떡갈나무를 키워낼 내일의 도토리를 심어준다. 우리나라 대표적인 삽화가인 최수연 작가의 아름다운 컬러 삽화를 넣어 새롭게 펴냈다."
어느 가을밤,막심 고리키 저,"일자리를 찾으러 떠난 낯선 거리에서 나레이터는 추위에 떠는 한 여자를 만나게 됩니다. 
러시아 민족작가 막심 고리키의 [어느 가을밤]입니다."
프라이어리 학교,아서 코난도일 저,"사라진 공작의 아들, 샐타이어! 홈즈와 왓슨은 공작의 저택을 찾아가 샐타이어의 행방을 찾아 나섭니다. 자전거 바퀴 자국을 발견한 홈즈는 저택을 둘러싼 비밀을 하나씩 풀어나갑니다. 추리 문학의 고전이며 지금까지 변함없는 사랑을 받는 셜록 홈즈 시리즈!"
월간무림,월간무림 편집부 저,상상초월! 완전당황! 어안벙벙! 義와 忠만이 가득하다고 생각했던 무림. 그런 무림도 결국은 사람이 사는 곳일 뿐이다. 절대정의 무림의 그 뒷면 감추어진 비밀스런 사실을 찾아가는 주글래 기자와 초주검 견습기자의 대 활약상. 놀라지 마시라! 당신이 알고 있는 무림은 이제 없다!
당신 마음대로,셰익스피어 저,"귀로 듣는 책, 귀로 읽는 책! 셰익스피어 걸작선! 셰익스피어의 대표적인 작품을 오디오북으로 들어보세요."
머스그레이브 가의 의식,아서 코난도일 저,"추리문학의 금자탑, 코난도일의 홈즈 시리즈, 머스 그레이브 가문에서 대대로 전통적으로 행해지는 의식의 비밀은 무엇인가!"
[증명된 사실] 무서운 도마뱀,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
김동인의 광염 소나타,김동인 저,"조선에서 제일가는 음악평론가 K씨가 사회교화자 이씨에게 불세출의 천재 백성수의 이야기를 담담히 풀어낸다. 인간의 광기와 예술. 그 경계는 어디까지인가. 김동인의 ‘광염소나타’를 보기 쉽게, 현대적 해석에 맞춰 재구성한 작품이다.. 백성수의 일그러진 예술혼을 살펴보자."
실버 블레이즈,아서 코난도일 저,"우승마로 꼽히는 실버 블레이즈가 갑자기 실종되고 조교가 사망하는 사건이 일어납니다. 의혹을 밝히기 위해 홈즈와 왓슨은 킹스 파일랜드로 향합니다. 우승을 예상한 경주마 실버 블레이즈가 실종됩니다. 대회에 출전하지 못하게 하려는 술책일까요? 추리 문학의 금자탑, 셜록 홈즈 시리즈 [실버 블레이즈]입니다."
나무를 심은 사람,장 지오노 저,"'희망을 심고 행복을 가꾼' 한 사람이 메마르고 황폐한 땅에 홀로 수십 년 동안 나무를 심어 황무지를 생명이 살아 숨쉬는 숲으로 바꾸어놓는 이야기로, 작가가 자신의 경험을 바탕으로 첫 원고를 쓴 뒤 20여 년 동안 다듬어 완성한 작품이다. 1953년 처음 발표된 이래 지금까지 25개 언어로 번역되어 세계적으로 널리 읽히고 있다. 이토록 짧은 작품이 우리에게 깊은 감동과 울림을 주는 이유는 깊은 문학적 향기와 더불어 강력한 메시지를 전하기 때문이다. 공기와 물과 땅이 죽어가고 뭇 생명이 고통받는 파멸의 시대에, 생명을 사랑하며 그것을 가꾸는 숭고한 한 사람의 이야기를 통해 앞으로 현대 문명이 나아가야 할 방향을 가르쳐주는 한 편의 탁월한 '우화'이기 때문이다. 자신을 위해서가 아니라 '우리'를 위해, 공동의 선을 위해 아무런 대가와 보상도 바라지 않고 자신을 바쳐 일한 한 사람의 고결한 정신과 실천이 이 '지구의 모습'을 바꾸어놓고 '세상'을 바꾸어놓는 기적을 감동적으로 보여준다. 이를 통해 우리의 마음속에 '희망의 나무'를 심어주고, 우리의 메마른 영혼 속에 푸른 떡갈나무를 키워낼 내일의 도토리를 심어준다. 우리나라 대표적인 삽화가인 최수연 작가의 아름다운 컬러 삽화를 넣어 새롭게 펴냈다."
어느 가을밤,막심 고리키 저,"일자리를 찾으러 떠난 낯선 거리에서 나레이터는 추위에 떠는 한 여자를 만나게 됩니다. 
러시아 민족작가 막심 고리키의 [어느 가을밤]입니다."
프라이어리 학교,아서 코난도일 저,"사라진 공작의 아들, 샐타이어! 홈즈와 왓슨은 공작의 저택을 찾아가 샐타이어의 행방을 찾아 나섭니다. 자전거 바퀴 자국을 발견한 홈즈는 저택을 둘러싼 비밀을 하나씩 풀어나갑니다. 추리 문학의 고전이며 지금까지 변함없는 사랑을 받는 셜록 홈즈 시리즈!"
월간무림,월간무림 편집부 저,상상초월! 완전당황! 어안벙벙! 義와 忠만이 가득하다고 생각했던 무림. 그런 무림도 결국은 사람이 사는 곳일 뿐이다. 절대정의 무림의 그 뒷면 감추어진 비밀스런 사실을 찾아가는 주글래 기자와 초주검 견습기자의 대 활약상. 놀라지 마시라! 당신이 알고 있는 무림은 이제 없다!
당신 마음대로,셰익스피어 저,"귀로 듣는 책, 귀로 읽는 책! 셰익스피어 걸작선! 셰익스피어의 대표적인 작품을 오디오북으로 들어보세요."
그림자의 지시,모리스 르블랑 저,"코난도일, 체스터턴과 더불어 대표적인 추리소설 작가인 모리스 르블랑의 뤼팽 시리즈는 오늘날까지도 가장 사랑받는 추리소설 가운데 하나로 평가받고 있습니다. 괴도 신사 뤼팽이 벌이는 미스터리 걸작을 소개합니다."
파란 십자가 - 세계 미스터리 고전문학,길버트 키스 체스터턴 저,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 마흔세 번째 작품! 런던에서 열리는 성체대회의 혼잡한 틈을 이용해 절도를 계획하고 있는 세기의 도둑 플램보. 그를 잡기 위해 영국으로 들어온 프랑스의 민완형사 발랑탱. 발랑탱의 앞에는 엉뚱한 일들만 펼쳐지고, 시골의 신부 브라운은 플램보에게 휘둘려 위기에 처하게 되는데…"
운영전,작가미상 저,"궁녀와 사랑에 빠지는 것이 금지되었던 시대, 운명처럼 사랑에 빠진 두 남녀가 있었다. 안평 대군의 궁녀 운영과 대군의 벗 김 진사는 위험을 무릅쓰며 아슬아슬하게 사랑을 이어나가는데…<운영전>을 현대적으로 각색한 작품이다. 금지된 사랑에 빠진 두 남녀의 이야기를 들여다보자."
"사랑, 프로그래밍",컬툰스토리 저,"완벽한 승준에게 딱 한가지 없는 건? 바로 애인. 연애경험이 없는 인재는 채용하지 않는다는 회사방침에 따라 승준은 계속해서 백수의 인생을 살고 있다. 명문대 올 A+, 수석졸업, 다부진 몸매까지 스펙이 완벽한 승준. 한때 그가 사랑했던 캠퍼스 여신 신주현이 연애컨설팅업체 주임연구원으로 최종면접관이 되어 나타났다. 최종면접에 붙는 인재는 단 1명, 하지만 픽업아티스트 5년차 노정태라는 커다란 복병이 기다리고 있었다."
[단편] 지도 중독,은희경 저,"1995년 등단한 이래, 서정적 감수성과 냉철한 관찰력을 결합한 유머러스한 필치로 현대인의 삶의 조건을 예리하게 묘파하는 화제작을 선보였던 은희경의 5년 만의 신작 소설집이 출간되었다. 단편의 특성을 최대한 살려 형식과 내용의 다양성을 시도하며 공들여 쓴 중단편 6편이 실려 있다. 매편마다 개성과 색깔이 제각각 뚜렷하지만, 비루하고 초라한 삶들을 조용하게 연민하며 공감의 시선을 보내는 점과, 특유의 경쾌한 문체는 한결같이 빛을 발한다. ‘아버지’라는 존재를 포함한 가족관계 속에서 삶과 정체를 탐구했던 이전의 작품들과 달리, 현대의 고독하고도 분열적인 인물을 다루고, 그 소소한 일상의 국면에서 희극적이거나 비극적인 상황에 주목하는 은희경 특유의 섬세한 시선과 서사가 빛을 발하는 소설집이다. 2006년 황순원문학상 최종후보작이던 표제작 「아름다움이 나를 멸시한다」에서는 서른다섯번째 생일날, 가족을 버린 아버지가 위독하다는 전화를 받고 다이어트를 결심하는 남자가 주인공으로 등장한다. 이 작품에서는 전작이었던 장편 『비밀과 거짓말』이나 소설집 『상속』의 표제작에서 은희경이 바라보던 ‘가족’과 ‘아버지’의 모습과 사뭇 다르다. 어릴 적 아버지와 만나던 이태리 식당에 걸려 있던 보띠첼리의 「비너스의 탄생」을 잊을 수 없었지만, 어렸을 때부터 아버지에게는 뚱뚱한 모습만을 보였고, 이제 돌아가실 날이 멀지 않은 아버지에게 달라진 모습을 보여주고 싶은 것이다. 매일 먹는 밥을 거부하는 다이어트란 결국 인간의 문명화와도 밀접한 연관이 있다고 주장하는 주인공은, 끝내 아버지가 돌아가신 후에야 달라진 모습으로 빈소를 찾고, 아버지는 「비너스의 탄생」을 유품으로 남긴다. “모든 아름다운 것들”이 자신을 거부하는 현실에서 가족과 아버지에 대한 부정이 음식에 대한 거부와 연결된다."
꼭 너 같은 남자,컬툰스토리 저,"정수희는 지금까지 사랑이라는 것을 제대로 해 본 적이 없는 여자다. 과거의 상처 때문에 쉽게 마음을 열지도 못하거니와 사랑이란 게 무엇인지조차 모르는 그녀는 많은 남자들에게 되레 상처를 주며 살아왔다. 한편으로 죄의식 때문에 연애를 하지 않던 중, 어느 날, 친구 지우와 클럽을 가게 되고, 그곳에서 독특한 분위기의 수혁을 만나게 된다. 미소년의 이미지임에도 어딘지 어른스럽고, 차분한 그에게 수희는 자꾸만 끌리게 되고, 그와 엮이게 되며 함께 호텔까지 가게 되는데. 사랑할 줄 모르던 정수희는 오수혁이란 남자를 통해 자신을 돌아보며 새로운 길을 걷게 된다."
[증명된 사실] 증명된 사실,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
주방 하녀의 결혼,안톤 체호프 저,어린 그리샤의 눈에 비친 하녀 펠라지아의 부당한 결혼! 러시아 대표작가 안톤 체호프의 걸작 단편
"[출근은 했는데, 퇴근을 안 했대] 출근은 했는데, 퇴근을 안 했대",한켠 저,"『탐정 전일도 사건집』 한켠 작가가 선보이는 오싹한 생존형 오피스 괴담 생동감 넘치는 성우들의 연기와 다채로운 음향 효과가 어우러진 공포 단편 드라마 오디오북! ""회사를 그만두고 싶었는데, 실업자가 될 용기는 없어서 사라지고 싶었어요."" 생입사 이후 11시 전에 퇴근한 적이 없는 광고 회사에서 오늘도 야근 신세를 면치 못하고 있는 주인공. 이번에는 팀에서 만든 시대착오적 광고가 온라인에서 논란이 된 탓에 뒷수습을 하느라 정신이 나갈 지경이다. 카페인이 절실한 상황이라 탕비실 자판기에서 캔커피를 하나 뽑으려는데, 자판기마저 먹통이 되자 자신의 신세에 대한 분노가 폭발하고 만다. 그러자 잠시 후 굴러떨어진 캔커피 하나. 곧이어 커피로 '구해주세요'라는 글씨가 적힌 천 원짜리 한 장이 지폐 투입구에서 천천히 되돌아 나오는데……. - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록"
만무방,김유정 저,"1935년 7월 ""조선일보""에 연재된 단편소설로, 일제강점기 아래에서 농촌의 착취체제에 내재하는 모순을 표출한 작품"
머스그레이브 가의 의식,아서 코난도일 저,"추리문학의 금자탑, 코난도일의 홈즈 시리즈, 머스 그레이브 가문에서 대대로 전통적으로 행해지는 의식의 비밀은 무엇인가!"
[증명된 사실] 무서운 도마뱀,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
김동인의 광염 소나타,김동인 저,"조선에서 제일가는 음악평론가 K씨가 사회교화자 이씨에게 불세출의 천재 백성수의 이야기를 담담히 풀어낸다. 인간의 광기와 예술. 그 경계는 어디까지인가. 김동인의 ‘광염소나타’를 보기 쉽게, 현대적 해석에 맞춰 재구성한 작품이다.. 백성수의 일그러진 예술혼을 살펴보자."
