titles,authors,informs
[증명된 사실] 증명된 사실,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
주방 하녀의 결혼,안톤 체호프 저,어린 그리샤의 눈에 비친 하녀 펠라지아의 부당한 결혼! 러시아 대표작가 안톤 체호프의 걸작 단편
"[출근은 했는데, 퇴근을 안 했대] 출근은 했는데, 퇴근을 안 했대",한켠 저,"『탐정 전일도 사건집』 한켠 작가가 선보이는 오싹한 생존형 오피스 괴담 생동감 넘치는 성우들의 연기와 다채로운 음향 효과가 어우러진 공포 단편 드라마 오디오북! ""회사를 그만두고 싶었는데, 실업자가 될 용기는 없어서 사라지고 싶었어요."" 생입사 이후 11시 전에 퇴근한 적이 없는 광고 회사에서 오늘도 야근 신세를 면치 못하고 있는 주인공. 이번에는 팀에서 만든 시대착오적 광고가 온라인에서 논란이 된 탓에 뒷수습을 하느라 정신이 나갈 지경이다. 카페인이 절실한 상황이라 탕비실 자판기에서 캔커피를 하나 뽑으려는데, 자판기마저 먹통이 되자 자신의 신세에 대한 분노가 폭발하고 만다. 그러자 잠시 후 굴러떨어진 캔커피 하나. 곧이어 커피로 '구해주세요'라는 글씨가 적힌 천 원짜리 한 장이 지폐 투입구에서 천천히 되돌아 나오는데……. - 📌 성우들의 열연, 환상적인 BGM과 연출! 황금가지의 드라마형 오디오북 목록"
만무방,김유정 저,"1935년 7월 ""조선일보""에 연재된 단편소설로, 일제강점기 아래에서 농촌의 착취체제에 내재하는 모순을 표출한 작품"
큰 소용돌이 속에서 - 세계 판타스틱 고전문학,에드거 앨런 포 저,세계 문호들의 판타스틱 단편 고전을 엄선하여 소개하는 시리즈의 스물여덟 번째 작품! 힘겹게 오른 산 아래의 바다에 펼쳐지는 놀라운 광경. 세상 모든 것을 집어삼킬 것만 같은 거대한 소용돌이. 그 소용돌이에 빨려 들어갔다가 살아남은 사람이 있다!
난 더 이상 지금의 나이고 싶지 않다 (세계환상문학걸작선 제1권),조반니 파피니 저,"‘내가 나일 수밖에 없다는 것을 깨닫고, 다시 말하면 자신이 자신이 될 수밖에 없다는 것을 깨닫고’ 더 이상 자신으로 살기 싫다는, 그래서 자신이 아닌 삶을 살 수 있는 방법을 애달프게 찾는 한 젊은이의 고백이다. 그렇다고 그가 자살을 원하는 것은 아니다. 다만 다른 사람으로 살고 싶을 뿐인데, 그럴 수 없다는 것을 알기에 절망적이다. 마지막으로 악마를 만나고 악마가 몇 마디 위로의 말을 건넨다. 악마의 조언은 무엇일까?"
비뚤어진 입술의 남자,아서 코난도일 저,세인트 클레어 라는 남자가 행방불명됩니다. 아편 굴에서 사라진 남자를 찾기 위한 수사가 시작되고 홈즈와 왓슨은 현장에서 범인으로 지목된 앉은뱅이 거지를 찾아갑니다. 마침내 그 거지의 정체가 드러납니다. 
"[증명된 사실] 카르멘 엘렉트라, 그녀가 내게 키스를",이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
나혜석의 규원,나혜석 저,"40년 과부인생을 살아온 정원의 삶을 들여다 보는 소설. 오해와 편견, 억측이 뒤섞여 망가져버린 정원의 인생을 통해 당시 과부들의 삶을 조명해 보자. 나혜석의 미완소설 규원을 현대적 해석에 맞춰 재구성한 작품이다."
적사병의 가면 - 세계 판타스틱 고전문학,에드거 앨런 포 저,"세계 문호들의 판타스틱 단편 고전을 엄선하여 소개하는 시리즈! 적사병으로 영지 내의 인구가 반으로 줄자, 프로스페로 공은 기사, 귀부인 약 1,000명을 데리고 수도원 안으로 숨는다. 거기서 열린 아름다운 가면무도회에 나타난 섬뜩한 복장의 인물은?"
베일을 쓴 하숙인 - 세계 미스터리 고전문학,아서 코난 도일 저,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 서른일곱 번째 작품! 홈즈의 갑작스러운 부름을 받고 달려간 왓슨 왓슨은 홈즈와 함께 기이한 하숙인에 대한 이야기를 듣는다 검은 베일로 얼굴을 가린 채 외부와의 소통을 끊고 살아가는 하숙인의 정체는? 《출판사서평》 추리의 세계는 언제나 흥미진진하다. 공상의 세계 역시 흥미진진하기는 하지만 그것은 현실과 상관없이 펼쳐지기도 한다. 고립된 독방에서도 너른 세상의 수많은 사람들과 다채로운 일들을 떠올리게 해주는 것이 공상이다. 물론 이것도 개인의 경험을 바탕으로 펼쳐지기는 하지만 거기에 논리성 같은 것은 필요 없어서 이 사건이 저 사건과 하나가 되기도 하고 한 사건이 전혀 연관성 없는 다른 세계로 펼쳐지기도 한다. 하지만 추리는 언제나 현실에 기반을 두고 있다. 하나의 사건 속에서 벌어진 일들은 서로가 밀접한 관계를 맺고 있으나 주의해서 잘 관찰하지 않으면 아무런 관계가 없이 벌어진 일처럼 보이기도 한다. 그렇기 때문에 추리에서는 세심한 관찰과 풍부한 지식이 무엇보다 중요한데, 관찰에서 놓치는 부분이 있으면 결론에 이르기까지의 연결고리가 끊어져 결론에 이르지 못하거나 억측을 낳아 전혀 엉뚱한 곳에 다다르게 되고, 풍부한 지식이 없으면 관찰을 통해 밝혀낸 사실들의 참된 의미를 알지 못해 결정적인 사항을 놓치거나 역시 엉뚱한 결론에 다다르게 되기 때문이다. 따라서 추리에는 관찰과 지식, 그리고 논리성이 절대적이다. 이번 시리즈에서는 세계적 명성을 얻은 작가들의 추리소설을 소개하겠다. 그들이 펼쳐 보이는 화려한 추리의 세계를 통해 재미와 함께, 정확한 추리를 위해서는 무엇을 관찰해야 하는지 또 관찰을 통해 얻은 사실은 무엇을 의미하는지 그러한 사실들을 어떻게 논리적으로 연결 지어야 하는지, 그 과정을 배워보기 바란다."
호텔마마 4 : 열꽃,양수련 저,"영화처럼 숨막히는 추리 스릴러다. 사회에서 루저로 살아가는 나를 받아주는 곳은 호텔마마, 바로 엄마뿐이다. 항상 정성스럽게 아들인 나를 챙겨주는 엄마. 그 행복을 당연하게 여겼다. 끝나지 않을 줄 알았다. 하지만 존재조차 몰랐던 아버지 다른 형이 등장했다. 형은 엄마와 나의 집, 호텔마마에 들어와 제 자리인양 활개를 치고 다닌다. 순식간에 엄마의 마음을 앗아가고 급기야는 당연히 내 것이 되어야 할 공간 ? 호텔마마까지 넘보려 한다. 빼앗길 수 없다. 호텔마마는 나만의 것이다! 현대에 살아가고 있는 우리들이 모델인듯 현실성이 넘치면서도 우리들이 한번씩 꿈꾸었던 욕망을 소유하기 위해 움직이는 작품 속 주인공들을 지켜보다 보면, 어느새 소설의 마지막 페이지에 바쁘게 다다른 당신을 발견할 수 있을 것이다. 《책 속으로》 이틀 후면 드디어 출소다. 도시를 누빌 수 있는 자유의 몸이 된다. 기쁘다는 생각은 바람 한 점 만큼도 들지 않는다. 어둑하고 습한 감방에 갇혀 있던 지난 12년. 내게는 그야말로 미궁이었다. 12년 만에 보게 될 바깥세상은 또 얼마나 달라져 있을까. 두렵기도 하다. 억울한 내 옥살이만큼이나. 내게 왜 이런 일이 생긴 것일까. 생각을 곱씹고 또 곱씹었다. 무려 12년 동안이나. - 호텔마마 1 - 그는 왜 나를 궁지로 몰았을까 中 형은 경찰에 시달리다가 귀가한 나를 맞아주었다. 현관 앞에 서있는 형을 본 체 만 체하고 나는 주방 앞에 섰다. 음식 냄새가 진동했으나 엄마는없었다. 식탁엔 엄마의 음식이 한 상 가득 차려져 있었다. “흉내를 좀 내봤는데 맛은 장담을 못하겠네. 한 집에 살면서 지난 육 개월 동안 너와 내가 밥 한 끼를 제대로 같이한 적이 없더라.” 경찰 심문은 사람의 진을 빼놓는 일이었다. 나는 몹시 허기져 있었다. 허겁지겁 먹어도 시원찮았겠지만 형이 만든 음식에 나는 젓가락도 대지 않았다. 몰래 수면제라도 탔을지 알 수 없었다. “이 집에 형이 더 머무를 이유가 없지. 내 집에서 그만 나가줘.” - 호텔마마 5 - 호텔마마 中 내 집 앞에만 오면 사람들은 고약한 냄새가 난다고 토하듯 비명을 질러댔다. 저들은 오만 인상을 쓰는 것은 물론이요, 손을 코앞에 대고 무례한부채질을 해 댔다. 저들에게 역한 냄새를 조금이라도 날려 보겠다는 심사였다. 그러나 내게는 아무런 냄새도 나지 않는다. 도대체 무슨 냄새가 난다고저리들 호들갑인지. 듣고 있는 나로서는 여간 억울한 일이 아니다. 게다가 무슨 탐정 놀이라도 하는 양 저들이 냄새의 정체를 밝혀내고야 말겠다며 현관에 바짝 코를 들이대고 킁킁거릴 때면 내 인내심도 바닥을 긴다. 이해심이라고는 눈곱만치도 없는 저들. 나는 현관문을 퍼뜩 열고 나가 그들의 뒤통수를 한 대 멋지게 갈겨 주고 싶다는 생각을 한다. - 호텔마마 10 - 현관 앞 방문객 中"
올바른 판결,레프 톨스토이 저,"톨스토이는 농지를 경영하며 러시아 농민, 서민들의 계몽과 교육을 많은 작품을 썼다.
교훈과 메시지가 담긴 톨스토이의 단편소설"
순정의 순정,컬툰스토리 저,"잘나가는 스물여덟의 변호사, 순정은 어느 날, 대학 동아리 선배, 철우의 총각 파티로 클럽에 가게 되고, 그곳에서 동기였던 성한과 재회한다. 둘도 없는 친구였던 두 사람은 4년 전, 각자의 길을 가게 되면서 헤어지게 되고, 그 과정에서 순정은 냉정하게 연락을 끊은 성한에게 큰 상처를 받는다. 4년이 지난 지금 순정은 아무렇지 않은 척 굴지만 자꾸 옛 기억을 떠올리며 힘들어 하는데. 결국 몰랐던 사실을 알게 되면서 저도 모르게 가슴이 뛰기 시작하는데..."
