titles,authors,informs,clip_links
쇼센 전차의 사격수 - 세계 미스터리 고전문학,운노 주자,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 마흔네 번째 작품! 늦더위가 기승을 부리던 어느 날 달리던 전차 안에서 아름다운 소녀가 저격당한다 이후, 전차 안에서 연속적으로 벌어지는 저격사건 아름다운 여성들만 노리고 쏘는 쇼센 전차의 사격수는 누구인가?",https://audioclip.naver.com/audiobooks/D59F0E9A75
결혼하지 말걸 그랬어 2,유춘강,"KBS 슈퍼탤런트 1기 배우 김시연 낭독, 소리로 듣는 한편의 드라마! ‘가족설명서가 필요해’ 사십이 넘어서부터 ‘나’는 모든 사물과 대화를 하는 버릇이 생겼다. 심지어 생선의 머리를 자르고 토막을 치면서도 말한다. ‘미안해, 정말 미안해. 내 본의는 아니다. 다음엔 생선으로 태어나지 말고 생선가게 주인으로 태어나라.’ 세탁기와 냉장고에게도 말한다. ‘ 너무 부려먹어서 미안해’ 라고. ‘너는 예뻐서 좋겠다. 하지만 잊지 마. 화무십일홍’이라고 꽃에게도 말을 걸고, ‘너는 남의 옷만 걸치고 있어서 어쩌니’ 라며 옷걸이에게도 말을 건다. 그렇지 않으면 나는 하루 종일 입도 뻥끗 못하니 말이다. 그야말로 인생 후반기에 묵언수행의 나날이다. 그런 나에게 갑작스런 암 선고와 시어머니의 치매로도 모자라 수련의 과정을 하고 있는 큰 딸 가을은 날라리 뽕짝 록 가수와 결혼을 전제로 사귄다. 그야말로 ‘나’의 인생에 쓰나미가 덮친 셈이다. 드디어 그 어느 때 보다도 인생의 매뉴얼, 가족관계설명서가 필요한 시점이 된 것이다.",https://audioclip.naver.com/audiobooks/F63C1CD03B
결혼하지 말걸 그랬어 5,유춘강,"KBS 슈퍼탤런트 1기 배우 김시연 낭독, 소리로 듣는 한편의 드라마! ‘가족설명서가 필요해’ 사십이 넘어서부터 ‘나’는 모든 사물과 대화를 하는 버릇이 생겼다. 심지어 생선의 머리를 자르고 토막을 치면서도 말한다. ‘미안해, 정말 미안해. 내 본의는 아니다. 다음엔 생선으로 태어나지 말고 생선가게 주인으로 태어나라.’ 세탁기와 냉장고에게도 말한다. ‘ 너무 부려먹어서 미안해’ 라고. ‘너는 예뻐서 좋겠다. 하지만 잊지 마. 화무십일홍’이라고 꽃에게도 말을 걸고, ‘너는 남의 옷만 걸치고 있어서 어쩌니’ 라며 옷걸이에게도 말을 건다. 그렇지 않으면 나는 하루 종일 입도 뻥끗 못하니 말이다. 그야말로 인생 후반기에 묵언수행의 나날이다. 그런 나에게 갑작스런 암 선고와 시어머니의 치매로도 모자라 수련의 과정을 하고 있는 큰 딸 가을은 날라리 뽕짝 록 가수와 결혼을 전제로 사귄다. 그야말로 ‘나’의 인생에 쓰나미가 덮친 셈이다. 드디어 그 어느 때 보다도 인생의 매뉴얼, 가족관계설명서가 필요한 시점이 된 것이다.",https://audioclip.naver.com/audiobooks/D9335515ED
감색 종이풍선 - 세계 미스터리 고전문학,운노 주자,"세계 유명 작가들의 미스터리 고전을 엄선하여 소개하는 시리즈의 쉰한 번째 작품! 병원에서 고가의 라듐이 사라진 날, 한 사내가 상습절도범으로 경찰에 체포됐다. 형기를 마치고 출소한 그는 자신이 형무소에서 은밀하게 반출한 물건을 찾는데… 그가 반출한 물건은 무엇일까? 그 물건의 행방은?",https://audioclip.naver.com/audiobooks/2B1C3441A5
[단편] 집이 넓어지고 있어,최정화,2012년 단편소설 「팜비치」로 창비신인소설상을 수상하며 작품활동을 시작한 최정화의 첫 소설집 『지극히 내성적인』이 출간되었다. 일상 속의 균열과 파동을 예민하게 감지하는 작가 최정화가 등단 이래 활발한 활동으로 쌓아온 열편의 소설이 묶였다. 온전해 보이는 세계 안에 스며 있는 불안의 기미를 내성적인 사람들의 민감한 시선으로 날렵하게 포착해내면서도 유머를 잃지 않는 자세가 야무지고 미덥다. “독자들이 ‘최정화’라는 이름을 특별한 소설가의 이름으로 기억하리라”는 등단 당시의 심사평이 무색하지 않을 만큼 그녀의 첫 책은 독자들에게 각별하고 매력적으로 다가올 것이다.,https://audioclip.naver.com/audiobooks/E8C25D73FA
알려지지 않은 예술가의 눈물과 자이툰 파스타,박상영,"지난 2년 사이 젊은작가상을 연속 수상하고, ‘소설가들이 뽑은 올해의 소설’에 계속해서 이름을 올리는 등 일약 한국문학의 가장 주목받는 젊은 작가로 확고히 자리잡은 박상영의 첫번째 소설집. 박상영의 소설은 실패하고 망하는 것 역시 그럴싸한 삶의 한 방식이 될 수 있음을 보여준다. 2018년 젊은작가상 수상작이자, 언젠가 한국 ‘퀴어 소설’의 계보에 반드시 언급될 작품인 「알려지지 않은 예술가의 눈물과 자이툰 파스타」의 ‘나’와 왕샤의 모습이 대표적이다. ‘나’는 칸영화제의 총아가 되겠다는 꿈을 가지고 게이들의 현실을 그린 영화, 그러니까 이성애자 감독이 그리는 퀴어 영화처럼 “감정 과잉의 신파이거나 정치적 프로파간다에 빠지지 않은” “세상에 없는 퀴어 영화”를 만들고자 하지만, ‘나’의 처음이자 마지막 장편영화는 이성애자 영화평론가로부터 현실성이 없다며 혹평을 듣는다. ‘나’에게 게이들의 현실이란 이성애자들의 그것과 마찬가지로 “그냥 젊은 사람이 술 먹고 섹스하는” “그냥 연애하는” 일과 다르지 않지만 결국 ‘나’는 ‘짝퉁 홍상수’ 취급을 당하며 영화판에서 밀려날 뿐이다. 왕샤 역시 “동양의 찰스 와이드먼”을 꿈꾸며 현대무용에 매진하지만 결국 자신이 연기한 작품의 제목처럼 “세상의 작은 점”조차 되지 못한다. 그런데 재미있는 것은 이들의 실패가 전혀 낙담스럽거나 비참하게 느껴지지 않는다는 사실이다. 문학평론가 신형철의 말처럼 “누군가의 실패를 감히 선언할 수 있는 자격이 있는 사람은 자기 자신뿐인데, 이 소설은 실패를 선언할 자격이 있는 바로 그 사람들의 실패 선언이기 때문에 유례없이 당당”(젊은작가상 심사평)하고 오히려 패기가 넘친다. 한국 문단의 ‘대표적 유머리스트’라고 할 수 있는 소설가 이기호가 박상영을 두고 “‘생래적 유머리스트’의 출현”이라며 후배의 등장을 반긴 것처럼 박상영의 소설은 유머러스하고 리듬감 있게 읽는 재미가 있다. 박상영은 농담을 에둘러 흘리기보단 부끄러워하지 않고 직접 던지는 편에 가깝다. 제제가 ‘나’에게 보내온 “오늘의 웃긴 얘기”를 듣고 우리는 피식피식 웃지 않을 수 없고, ‘나’와 왕샤가 ‘샤넬 노래방’과 ‘비욘세 순대국밥’에서 한바탕 소동을 벌이며 나누는 대화는 급기야 우리를 파안대소하게 만든다. 그리고 그 소동과 웃음을 넘어 끝내 우리를 눈물짓게 만들고, 동시대를 살아가는 이들의 이야기에 “속수무책으로 공감”(소설가 정이현)하게 만드는 것이 바로 박상영의 소설이다.",https://audioclip.naver.com/audiobooks/C665CABF02
영화처럼 세이셀 (인피니트 남우현),공지희,"자음과모음 청소년문학 70권 기념소설집 <십대의 온도> 수록작. 두번째 수능 시험을 앞두고 세이셀 섬으로 도망치듯 떠난 소년의 모험을 마치 한 편의 영화처럼 그렸다. 세이셀에 도착한 주인공은 여행 가방을 통째로 도난당하고 빈털터리가 된다. 다행히 세이셀에서 다이빙샵을 운영하는 한국인 청년을 만나 그에게 의지마녀 꿈같은 시간을 보내던 어느날, 배를 타고 나타난 한 남자를 발견하는데.. *** 인피니트의 멤버인 남우현이 낭독하는 공지희 작가의 [영화처럼 세이셀]은 [EBS 아이돌이 읽다, 마음을 잇다] 라는 아이돌의 낭독과 기부가 결합된 프로젝트 참여 작품이다. 이시대 최고의 아이돌이 문학작품 낭독자로 참여해 목소리 재능을 기부하고, 이를 통해 발생되는 수익금 일부는 농어촌청소년육성재단에 기부되어 문화 교육 혜택에서 소외된 청소년들의 올바른 성장 지원을 위해 사용된다.",https://audioclip.naver.com/audiobooks/0469AC938E
셜록 홈즈 : 바스커빌가의 개,아서 코난도일,"200년을 흘러온 바스커빌 가의 악마개의 전설을 둘러싼 살인사건을 해결하기 위해 명탐정 홈즈와 그의 파트너 왓슨 박사가 나섰다! 어느 날 홈즈 일행은 홈즈의 사무실에 찾아온 모티머 박사로부터 찰스 바스커빌의 죽음에 관한 이야기를 듣게 된다. 마을 사람들은 200년 전 바스커빌 가에 나타난 악마개에 관한 전설이 다시 부활했다고 믿고 있다. 바스커빌 가의 새로운 상속자인 헨리 바스커빌의 주변에 일어나는 기괴한 사건들과 바스커빌 가 주변의 의문의 사람들. 왓슨 박사는 악마개의 정체를 밝히기 위해 헨리 바스커빌 일행과 바스커빌 저택이 있는 데본셔로 떠나게 되는데... 세계적 추리소설 작가 아서 코난 도일의 셜록홈즈 시리즈중 4대 장편중 하나이며 세계 10대 추리소설로 선정! 스토리 전반에 깔려 있는 복선과 암시, 홈즈와 왓슨의 치밀한 추리로 귀를 뗄수 없는 긴박감. 과연 '바스커빌가의 개'의 정체는 무엇일까?",https://audioclip.naver.com/audiobooks/779B81130F
"B사감과 러브레터 (RESOUND 단편, 우미화 낭독)",현진건,"「B사감과 러브레터」는 1925년 2월 『조선문단』에 발표된 현진건(1900~1943)의 단편소설입니다. 오랫동안 교과서에 실려온 작품이라 너무나 유명하지만, 이 소설은 단순한 풍자소설이 아닙니다. 1920년대는 여전히 대부분의 여성이 신랑의 얼굴 한 번 보지 못하고, 집안 어른들의 결정에 따라 시집을 가야 했던 시절이었습니다. 게다가, 친정의 가난 때문에 돈에 팔려가 시집살이를 해야 하는 여성도 많았습니다. 그렇기에 이 작품은 여학교 기숙사의 사감 선생님을 단순하게 풍자하고자 한 것이 아니라, ‘자유연애’로 상징되는 여성의 주체성, 즉 여성 스스로 자신의 인생을 결정하는 ‘새로운 세상’에 대한 반어적 옹호를 위한 작품이라 할 것입니다. 연애편지가 날아드는 여학교의 기숙사. 그곳에는 가부장적인 사고로 무장하고 학생들의 연애가 인생을 망치는 지름길이라고 믿는 B사감 선생이 근무하고 있습니다. B사감은 학생들에게 날아드는 연애편지를 압수하고 편지의 수취인인 해당 학생을 불러 호되게 야단치는 것이 하루의 중요한 일과인 교사입니다. 그러던 어느 날부터 자정이 넘긴 기숙사에선 밤마다 이상한 목소리가 들려오기 시작하고… 용기를 낸 학생들이 복도로 나와 영문 모를 소리의 진원지인 B사감 선생님의 사감실로 다가가 보는데… 100년 전 우리 소설, 아름다운 소리로 만나다 ‘Resound 단편’ 시리즈 소위 ‘고전’이라 불리는 작품들은 시대를 불문하고 인간과 삶을 관통하는 날카로운 통찰을 담고 있습니다. 그러나 한 번쯤 제목은 들어 봤을지라도, 제대로 읽어본 적은 없는 경우가 많습니다. 왜일까요? 어쩌면 고전은 낡고 지루하며 어렵다는 편견이 있는 건 아닐까요. ‘Resound 단편’ 시리즈는 그 편견을 깹니다. 오늘날 활발히 활동 중인 작가들이 고쳐 쓰고, 그 원고를 전문 배우들이 생생하게 낭독하고, 거기에 뮤지션들이 작곡한 음악이 더해져 고전은 새로운 예술작품이 되었습니다. 옛 것의 가치는 간직하되 새로운 옷을 입고 화려하게 돌아온 50편의 ‘Resound 단편’ 시리즈가 새로운 문학의 세계, 감상하는 오디오북의 세계로 당신을 초대합니다.",https://audioclip.naver.com/audiobooks/50E1038290
이단의 고백 (사건보고서 2021),양완영,"성우 강수진과 오디언의 첫 번째 콜라보 프로젝트! <死건 보고서> 오디오 콘텐츠로는 접하기 어려웠던 ‘스릴러’ 장르를 영화 같은 사운드로 구현해 청취자들에게 새로운 경험을 선사하고자 한다. <이누야샤>, <원피스> 등 다수의 애니메이션과 외화 더빙으로 대중에게 친숙한 성우 강수진이 직접 연출한 <우주괴담 기원론>, <경계선> 과 오디언 전문 프로듀서들이 연출한 <이단의 고백>, <그리고 아무도 없었다>까지! 오랜만에 만나는 반가운 목소리부터 주목받는 새로운 목소리들이 펼쳐내는 이야기를 만나보자 #사건번호3. - 소녀들의 신앙은 어디서부터 비롯되었나, 그 믿음의 행방에 대해 보고드립니다. 1960년대 대한민국, 한 산골마을. 마을을 떠났던 무당의 딸, 송매화가 산 속에서 죽은 채 발견된다. 사건이라고 인식할 새도 없이, 자살로 처리된 그의 죽음. 마을에 몇 없는 또래 친구들이었던 매화, 윤애와 함께 기도모임을 가지며 친하게 지냈던 영순은, 슬퍼하는 동시에 그 죽음에 의혹이 있다고 생각한다. 영순은 그 의혹을 파헤치기 시작하는데…",https://audioclip.naver.com/audiobooks/694A476E10
말하자면 좋은 사람,정이현,"도시 생활자의 삶과 고민을 간파해내는 작가 정이현의 짧고 서늘한 11편 이야기 모음집 도시 생활자의 삶과 고민을 감각적이고 날렵한 필치로 그려내는 작가 정이현의 짧은 소설을 한 권에 담았다. 단편보다도 짧은, 그래서 어디서나 부담 없이 읽기 편하되 압축적이고 밀도 있는 글쓰기를 보여주는 짧은 소설은 거듭 곱씹을 만한 이야기들이다. 등단 초기에 발표한 작품부터 교보문고 북뉴스에 연재해 큰 인기를 모은 작품까지 모두 11편을 묶은 이 책은 작가가 완전히 새롭게 구성하고 다듬어 이음새가 단단한 책으로 거듭났다. 뜻밖의 선물 같은 이 작품들은 혼자 밥을 먹고 혼자 좁은 골목을 걷고 있는 우리 모두에 대한 이야기다. 서늘하고도 다정한 작가의 목소리는 그렇게 혼자 가는 우리가 어쩌면 모두 좋은 사람들인지도 모른다고 이야기한다. 뾰족한 모서리에 서 있는 것 같은 나날을 이어가는 불안한 열여덟 살, 춥고 겁에 질린 사람이 저 혼자뿐인 줄 아는 스물두 살, 갈 곳이 어디인지 모르는 취업 준비생, SNS의 세계에서 가짜 ‘나’를 살아온 누군가의 아내, 다른 사람과의 결혼을 앞둔 전 연인에게 진솔한 고마움과 격려를 담아 이별 편지를 띄우는 남자……. 그들은 모두 ‘말하자면 좋은 사람’들인 것이다. 그럼에도 혼자 있는 사람에게 작가는 무작정 ‘괜찮다’라고 말하지 않는다. 그저 혼자인 또 다른 누군가를 우리 곁에 잠시 세워놓으며 여럿인 혼자는 결국 혼자가 아님을 이야기를 통해 보여준다.",https://audioclip.naver.com/audiobooks/33DD1A5D0B
